date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-18,33.0,21.2,26.5,0.2,0.2,13.8,170,56,1012.9,66,22.45,5.41,Bangalore,12.97,77.59
2021-04-19,33.4,20.6,26.8,0.0,0.0,12.3,273,59,1011.2,62,22.88,5.49,Bangalore,12.97,77.59
2021-04-20,31.0,21.6,25.2,7.9,7.9,11.8,245,71,1011.1,69,18.29,4.12,Bangalore,12.97,77.59
2021-04-21,30.9,20.6,24.9,8.8,8.8,10.5,290,71,1012.0,65,18.66,4.1,Bangalore,12.97,77.59
2021-04-22,32.2,20.5,25.9,1.1,1.1,16.1,275,66,1012.0,68,20.9,4.5,Bangalore,12.97,77.59
2021-04-23,31.0,21.1,24.4,12.2,12.2,12.0,253,76,1012.3,91,19.89,4.21,Bangalore,12.97,77.59
2021-04-24,30.0,20.4,24.0,17.6,17.6,11.1,225,80,1011.6,96,17.84,3.73,Bangalore,12.97,77.59
2021-04-25,32.0,20.7,25.7,0.1,0.1,11.5,134,65,1010.6,93,23.78,5.4,Bangalore,12.97,77.59
2021-04-26,32.7,21.0,26.3,0.0,0.0,9.6,118,55,1010.0,45,24.9,5.8,Bangalore,12.97,77.59
2021-04-27,32.9,20.1,26.1,0.0,0.0,13.7,103,56,1010.8,64,23.89,5.86,Bangalore,12.97,77.59
2021-04-28,32.7,20.2,26.9,0.0,0.0,11.0,82,49,1011.3,37,23.12,5.67,Bangalore,12.97,77.59
2021-04-29,32.0,22.1,26.3,0.5,0.5,12.3,138,58,1011.1,61,22.24,5.26,Bangalore,12.97,77.59
2021-04-30,33.0,21.2,26.5,0.0,0.0,18.9,98,57,1010.0,59,22.18,5.69,Bangalore,12.97,77.59
2021-05-01,32.8,21.1,26.8,0.0,0.0,14.3,120,56,1010.0,60,23.67,6.16,Bangalore,12.97,77.59
2021-05-02,32.7,21.2,26.7,0.0,0.0,14.3,114,61,1010.3,64,23.3,5.64,Bangalore,12.97,77.59
2021-05-03,32.1,21.8,26.4,0.8,0.8,15.4,126,61,1009.9,77,20.92,5.18,Bangalore,12.97,77.59
2021-05-04,30.2,21.4,25.2,3.3,3.3,14.5,151,70,1010.2,87,17.31,4.02,Bangalore,12.97,77.59
2021-05-05,33.8,20.1,26.8,0.0,0.0,19.3,135,61,1009.5,64,25.11,6.09,Bangalore,12.97,77.59
2021-05-06,33.0,21.8,27.1,0.0,0.0,16.1,134,59,1010.5,45,23.49,6.07,Bangalore,12.97,77.59
