date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,30.7,26.4,28.3,4.9,4.9,14.1,192,83,1010.6,94,18.93,4.02,Bangkok,13.76,100.5
2021-04-15,32.1,24.9,28.3,1.7,1.7,10.0,208,81,1009.3,86,21.92,4.71,Bangkok,13.76,100.5
2021-04-16,31.9,25.9,28.9,3.5,3.5,15.0,193,80,1008.9,81,21.43,4.68,Bangkok,13.76,100.5
2021-04-17,32.2,25.2,28.4,0.4,0.4,12.6,193,80,1010.5,79,22.31,4.84,Bangkok,13.76,100.5
2021-04-18,32.1,25.5,28.3,12.8,12.8,12.4,204,82,1010.2,66,21.3,4.53,Bangkok,13.76,100.5
2021-04-19,31.9,24.9,27.9,3.2,3.2,15.1,184,82,1008.7,79,21.78,4.66,Bangkok,13.76,100.5
2021-04-20,31.1,25.8,28.5,4.5,4.5,10.8,166,80,1008.2,88,18.66,4.08,Bangkok,13.76,100.5
2021-04-21,31.9,26.4,28.7,4.9,4.9,12.4,197,82,1008.5,72,19.82,4.25,Bangkok,13.76,100.5
2021-04-22,33.3,26.0,29.2,2.3,2.3,10.4,231,80,1007.9,85,19.69,4.4,Bangkok,13.76,100.5
2021-04-23,34.1,26.2,29.7,1.6,1.6,15.6,210,78,1006.9,96,21.15,4.94,Bangkok,13.76,100.5
2021-04-24,34.0,25.9,29.5,4.6,4.6,18.8,187,78,1006.9,92,22.25,5.13,Bangkok,13.76,100.5
2021-04-25,33.3,27.0,29.4,1.7,1.7,13.6,176,80,1007.9,88,20.51,4.56,Bangkok,13.76,100.5
2021-04-26,32.2,25.9,28.3,14.3,14.3,14.8,245,82,1008.1,92,17.87,3.85,Bangkok,13.76,100.5
2021-04-27,31.4,25.5,27.5,7.1,7.1,11.2,97,86,1009.5,97,17.36,3.68,Bangkok,13.76,100.5
2021-04-28,31.0,24.1,27.2,11.5,11.5,14.4,112,87,1010.9,99,18.07,3.75,Bangkok,13.76,100.5
2021-04-29,29.1,24.5,26.7,19.8,19.8,13.0,130,87,1010.9,98,16.47,3.34,Bangkok,13.76,100.5
2021-04-30,29.7,24.5,27.0,2.7,2.7,8.9,132,87,1010.4,96,15.28,3.22,Bangkok,13.76,100.5
2021-05-01,30.4,25.2,27.6,2.3,2.3,10.7,161,86,1010.6,80,15.78,3.33,Bangkok,13.76,100.5
2021-05-02,31.8,25.0,28.3,1.9,1.9,11.3,143,82,1010.2,55,20.27,4.28,Bangkok,13.76,100.5
2021-05-03,31.9,25.5,29.0,1.6,1.6,7.9,231,81,1008.4,70,20.97,4.45,Bangkok,13.76,100.5
2021-05-04,33.0,26.6,29.5,13.9,13.9,10.2,208,81,1007.9,70,20.96,4.57,Bangkok,13.76,100.5
2021-05-05,34.0,26.1,29.8,0.0,0.0,8.7,169,79,1007.8,76,23.32,5.11,Bangkok,13.76,100.5
2021-05-06,29.0,25.8,27.1,10.8,10.8,13.7,79,87,1011.2,91,7.46,1.75,Bangkok,13.76,100.5
2021-05-07,30.2,25.0,27.5,2.8,2.8,11.8,3,84,1010.8,82,15.55,3.32,Bangkok,13.76,100.5
2021-05-08,31.9,24.5,28.1,0.8,0.8,7.2,233,85,1009.5,91,17.94,3.83,Bangkok,13.76,100.5
2021-05-09,32.2,25.5,28.5,1.2,1.2,9.7,242,82,1008.5,70,21.19,4.51,Bangkok,13.76,100.5
2021-05-10,33.2,26.7,29.6,0.2,0.2,15.5,199,79,1007.7,43,23.18,5.22,Bangkok,13.76,100.5
2021-05-11,33.5,27.1,30.0,1.5,1.5,12.9,197,77,1007.1,66,22.75,5.2,Bangkok,13.76,100.5
2021-05-12,32.9,27.0,30.1,1.9,1.9,16.5,185,78,1006.3,43,22.61,5.2,Bangkok,13.76,100.5
2021-05-13,33.8,27.2,30.4,0.2,0.2,16.6,190,74,1005.8,26,23.58,5.57,Bangkok,13.76,100.5
2021-05-14,34.3,27.6,30.7,0.0,0.0,18.6,181,73,1005.8,31,23.91,5.8,Bangkok,13.76,100.5
2021-05-15,33.7,28.2,30.6,2.1,2.1,16.8,174,75,1006.6,58,21.49,5.18,Bangkok,13.76,100.5
2021-05-16,32.8,28.1,30.3,0.6,0.6,15.8,177,76,1007.1,83,14.83,3.95,Bangkok,13.76,100.5
2021-05-17,34.2,27.8,30.7,0.6,0.6,15.3,182,74,1007.1,51,22.17,5.27,Bangkok,13.76,100.5
2021-05-18,33.7,27.9,30.5,1.5,1.5,18.5,178,75,1007.6,78,21.24,5.17,Bangkok,13.76,100.5
2021-05-19,36.2,26.9,29.8,12.6,12.6,19.1,197,78,1007.0,88,20.29,4.75,Bangkok,13.76,100.5
2021-05-20,33.5,27.2,29.5,4.5,4.5,14.6,182,82,1007.1,97,17.6,4.05,Bangkok,13.76,100.5
2021-05-21,34.2,26.3,30.1,1.7,1.7,14.8,221,75,1006.9,87,23.3,5.41,Bangkok,13.76,100.5
2021-05-22,34.4,26.2,29.9,3.6,3.6,18.8,232,71,1006.0,72,22.51,5.55,Bangkok,13.76,100.5
2021-05-23,36.0,26.5,30.7,1.3,1.3,19.1,231,68,1006.0,47,21.41,5.73,Bangkok,13.76,100.5
2021-05-24,35.8,26.5,30.6,0.2,0.2,16.8,220,69,1006.8,88,19.02,5.09,Bangkok,13.76,100.5
2021-05-25,34.2,27.0,29.6,2.4,2.4,16.9,233,72,1006.8,99,16.25,4.19,Bangkok,13.76,100.5
2021-05-26,32.2,26.7,29.6,0.0,0.0,13.4,242,70,1006.7,99,11.28,3.34,Bangkok,13.76,100.5
2021-05-27,34.5,26.8,29.5,10.3,10.3,21.4,211,72,1006.6,96,15.6,4.11,Bangkok,13.76,100.5
2021-05-28,30.5,25.8,27.7,19.2,19.2,16.2,149,86,1008.3,96,14.52,3.16,Bangkok,13.76,100.5
2021-05-29,32.3,25.9,28.6,7.6,7.6,22.4,180,81,1008.1,75,21.78,4.73,Bangkok,13.76,100.5
2021-05-30,32.5,26.6,29.4,0.8,0.8,19.2,196,76,1007.3,42,23.94,5.45,Bangkok,13.76,100.5
