date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,7.8,-0.2,4.0,0.4,0.4,17.7,328,70,1027.5,88,15.97,1.97,Berlin,52.52,13.41
2021-04-15,7.1,0.2,3.5,1.9,1.3,25.6,359,68,1027.6,99,9.31,1.62,Berlin,52.52,13.41
2021-04-16,10.2,2.8,5.9,0.4,0.4,20.3,358,70,1024.5,94,14.93,2.16,Berlin,52.52,13.41
2021-04-17,13.4,3.9,7.9,2.0,2.0,14.1,357,73,1021.6,81,13.17,2.05,Berlin,52.52,13.41
2021-04-18,11.9,4.9,7.9,6.1,6.1,12.1,28,91,1020.5,73,7.84,1.08,Berlin,52.52,13.41
2021-04-19,16.5,4.5,9.9,0.2,0.2,12.8,15,81,1019.8,64,16.55,2.45,Berlin,52.52,13.41
2021-04-20,16.8,3.0,9.5,0.1,0.1,12.3,348,75,1015.8,19,19.91,2.99,Berlin,52.52,13.41
2021-04-21,15.8,2.5,9.3,0.1,0.1,20.0,304,68,1013.8,34,19.23,3.21,Berlin,52.52,13.41
2021-04-22,10.3,3.2,6.8,0.8,0.8,27.7,294,59,1018.4,49,17.86,2.95,Berlin,52.52,13.41
2021-04-23,12.2,3.8,7.3,0.0,0.0,25.5,303,63,1024.0,61,14.88,2.49,Berlin,52.52,13.41
2021-04-24,10.1,4.2,7.1,0.0,0.0,15.7,306,63,1024.6,87,14.23,2.18,Berlin,52.52,13.41
2021-04-25,9.6,1.3,5.3,0.7,0.7,17.7,342,63,1024.1,73,12.05,1.94,Berlin,52.52,13.41
2021-04-26,9.1,-2.2,4.0,0.0,0.0,15.2,349,65,1021.7,28,18.78,2.4,Berlin,52.52,13.41
2021-04-27,11.8,-1.8,5.7,0.0,0.0,16.6,101,59,1016.3,11,24.7,3.32,Berlin,52.52,13.41
2021-04-28,16.5,2.6,9.4,0.0,0.0,15.6,101,53,1009.3,37,23.7,3.91,Berlin,52.52,13.41
2021-04-29,16.1,7.8,11.0,2.4,2.4,24.0,202,71,1002.8,78,12.1,2.28,Berlin,52.52,13.41
2021-04-30,11.1,6.6,8.7,0.3,0.3,21.7,294,73,1010.6,89,8.99,1.73,Berlin,52.52,13.41
2021-05-01,12.6,5.9,8.8,0.1,0.1,10.4,66,76,1013.7,98,11.43,1.82,Berlin,52.52,13.41
2021-05-02,11.6,5.9,8.1,9.5,9.5,21.6,325,86,1011.6,100,8.78,1.31,Berlin,52.52,13.41
2021-05-03,10.6,4.2,7.3,2.1,2.1,25.3,266,75,1016.9,77,17.49,2.29,Berlin,52.52,13.41
2021-05-04,14.1,4.6,9.8,0.9,0.9,35.9,208,64,1003.2,86,10.63,2.69,Berlin,52.52,13.41
2021-05-05,12.4,6.8,9.1,2.3,2.3,35.2,240,63,999.2,56,20.02,3.25,Berlin,52.52,13.41
2021-05-06,10.8,4.2,7.4,0.4,0.4,27.7,245,64,1005.7,60,21.94,2.95,Berlin,52.52,13.41
2021-05-07,8.9,4.2,6.0,6.5,6.5,23.7,280,83,1008.8,83,12.01,1.4,Berlin,52.52,13.41
2021-05-08,13.5,3.3,8.8,0.0,0.0,16.3,244,65,1017.3,59,19.78,2.99,Berlin,52.52,13.41
2021-05-09,24.3,9.4,16.7,0.0,0.0,18.3,169,53,1010.5,70,24.69,5.2,Berlin,52.52,13.41
2021-05-10,28.0,12.6,19.8,0.0,0.0,18.1,164,56,1007.2,54,24.49,5.32,Berlin,52.52,13.41
2021-05-11,27.1,12.9,19.8,0.7,0.7,20.5,29,71,1005.2,80,22.68,4.55,Berlin,52.52,13.41
2021-05-12,15.8,11.9,14.1,8.9,8.9,15.9,306,86,1007.1,98,8.62,1.57,Berlin,52.52,13.41
2021-05-13,13.3,10.6,11.9,9.8,9.8,20.0,313,92,1005.0,100,6.0,0.95,Berlin,52.52,13.41
2021-05-14,12.3,8.4,10.8,3.3,3.3,23.9,280,86,1005.1,93,8.65,1.37,Berlin,52.52,13.41
2021-05-15,17.5,5.7,12.1,3.4,3.4,22.6,191,77,1006.3,56,22.13,3.3,Berlin,52.52,13.41
2021-05-16,16.2,7.4,12.3,1.0,1.0,15.5,209,76,1002.7,60,18.88,2.84,Berlin,52.52,13.41
2021-05-17,17.5,7.7,12.8,1.0,1.0,12.0,231,77,1002.9,58,21.52,3.32,Berlin,52.52,13.41
