date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-18,37.0,23.5,30.8,0.0,0.0,12.5,8,23,1010.5,7,24.84,7.6,Bhopal,23.26,77.41
2021-04-19,37.5,23.1,31.0,0.0,0.0,15.8,22,23,1007.7,26,22.5,6.66,Bhopal,23.26,77.41
2021-04-20,38.5,26.7,32.7,0.0,0.0,18.6,253,20,1005.6,45,23.1,9.07,Bhopal,23.26,77.41
2021-04-21,35.2,25.6,30.2,0.0,0.0,23.4,272,27,1008.6,58,21.09,7.06,Bhopal,23.26,77.41
2021-04-22,36.2,21.6,29.9,0.0,0.0,17.9,353,21,1010.0,43,26.82,7.12,Bhopal,23.26,77.41
2021-04-23,37.8,22.6,30.6,0.0,0.0,13.5,222,22,1008.7,47,25.77,7.6,Bhopal,23.26,77.41
2021-04-24,37.9,25.6,31.6,0.0,0.0,21.2,304,20,1008.3,77,23.37,8.74,Bhopal,23.26,77.41
2021-04-25,37.5,23.8,30.7,0.0,0.0,13.4,11,13,1009.5,49,26.23,8.59,Bhopal,23.26,77.41
2021-04-26,38.5,23.0,30.4,0.0,0.0,16.1,12,12,1008.2,6,27.28,8.43,Bhopal,23.26,77.41
2021-04-27,39.3,22.9,31.4,0.0,0.0,11.4,63,13,1007.8,5,26.85,7.64,Bhopal,23.26,77.41
2021-04-28,40.0,23.4,32.5,0.0,0.0,11.2,189,15,1008.1,13,25.55,7.35,Bhopal,23.26,77.41
2021-04-29,40.2,25.3,32.7,0.0,0.0,16.2,241,14,1007.3,17,25.14,7.64,Bhopal,23.26,77.41
2021-04-30,39.8,23.8,32.9,0.0,0.0,17.1,240,16,1006.0,19,24.65,8.0,Bhopal,23.26,77.41
2021-05-01,39.2,26.2,32.6,0.0,0.0,24.7,239,20,1006.3,63,21.48,8.59,Bhopal,23.26,77.41
2021-05-02,36.3,26.8,30.6,0.4,0.4,21.9,251,32,1008.8,45,19.93,6.94,Bhopal,23.26,77.41
2021-05-03,36.4,24.5,29.9,0.0,0.0,15.1,246,35,1007.8,24,21.59,6.99,Bhopal,23.26,77.41
2021-05-04,38.0,24.1,31.4,0.0,0.0,16.4,252,29,1006.5,32,22.32,7.53,Bhopal,23.26,77.41
2021-05-05,38.9,26.7,32.7,0.0,0.0,15.3,291,22,1005.8,17,24.88,8.61,Bhopal,23.26,77.41
2021-05-06,39.7,28.0,33.7,0.0,0.0,20.2,261,20,1006.1,25,21.55,8.82,Bhopal,23.26,77.41
2021-05-07,39.3,27.0,33.4,0.0,0.0,15.2,270,24,1007.2,19,23.82,7.82,Bhopal,23.26,77.41
2021-05-08,37.7,26.8,32.6,0.0,0.0,16.3,97,31,1006.8,32,21.68,6.81,Bhopal,23.26,77.41
2021-05-09,37.5,27.0,31.8,0.2,0.2,14.7,131,39,1005.7,30,20.26,6.55,Bhopal,23.26,77.41
2021-05-10,38.8,25.5,32.5,0.0,0.0,15.6,237,34,1004.5,28,22.73,6.77,Bhopal,23.26,77.41
2021-05-11,38.3,25.8,32.7,0.0,0.0,18.7,270,29,1004.4,24,24.24,8.5,Bhopal,23.26,77.41
2021-05-12,37.0,26.5,32.4,0.0,0.0,18.9,277,26,1002.7,20,23.35,8.68,Bhopal,23.26,77.41
2021-05-13,36.5,26.2,31.6,0.0,0.0,16.9,291,31,1002.9,18,22.28,7.5,Bhopal,23.26,77.41
2021-05-14,38.2,24.6,32.1,0.0,0.0,14.8,219,33,1002.7,21,23.17,7.02,Bhopal,23.26,77.41
2021-05-15,38.0,25.3,33.0,0.0,0.0,19.3,189,33,1002.7,44,20.25,7.15,Bhopal,23.26,77.41
2021-05-16,38.8,27.5,32.4,0.4,0.4,20.8,112,45,1004.5,55,23.03,7.7,Bhopal,23.26,77.41
2021-05-17,33.1,24.0,27.8,7.7,7.7,17.6,84,74,1006.1,80,17.36,4.39,Bhopal,23.26,77.41
2021-05-18,34.0,24.1,28.4,3.8,3.8,19.6,151,71,1004.5,86,21.0,5.28,Bhopal,23.26,77.41
2021-05-19,33.0,24.5,28.2,3.2,3.2,28.4,197,67,1002.1,64,18.98,5.35,Bhopal,23.26,77.41
2021-05-20,33.2,23.6,27.3,0.3,0.3,22.2,282,57,1004.2,31,21.53,6.0,Bhopal,23.26,77.41
2021-05-21,35.8,22.1,29.6,0.0,0.0,10.1,294,47,1005.6,25,23.28,5.85,Bhopal,23.26,77.41
2021-05-22,36.0,26.9,30.8,0.0,0.0,15.4,289,43,1004.9,55,20.74,6.21,Bhopal,23.26,77.41
2021-05-23,37.1,25.9,31.1,0.0,0.0,21.0,309,39,1005.6,31,21.57,6.74,Bhopal,23.26,77.41
2021-05-24,38.0,25.8,31.4,0.0,0.0,19.9,340,31,1006.1,24,24.54,8.64,Bhopal,23.26,77.41
2021-05-25,39.5,24.2,32.1,0.0,0.0,24.2,341,26,1002.9,94,26.38,9.17,Bhopal,23.26,77.41
2021-05-26,38.2,25.8,32.4,0.0,0.0,22.6,318,30,1000.6,77,21.2,8.39,Bhopal,23.26,77.41
2021-05-27,39.1,28.3,33.4,0.0,0.0,23.2,301,38,1000.6,58,20.46,8.78,Bhopal,23.26,77.41
2021-05-28,39.7,27.6,33.6,0.0,0.0,17.3,302,38,1002.2,43,21.93,7.67,Bhopal,23.26,77.41
2021-05-29,38.7,29.6,33.1,0.1,0.1,21.5,287,46,1004.2,40,22.05,7.36,Bhopal,23.26,77.41
2021-05-30,37.0,29.0,32.6,0.2,0.2,19.3,263,46,1004.4,68,17.39,6.58,Bhopal,23.26,77.41
2021-05-31,38.0,27.2,32.6,0.0,0.0,16.2,238,47,1002.4,52,19.92,6.66,Bhopal,23.26,77.41
2021-06-01,38.0,27.0,32.1,0.0,0.0,16.2,254,44,1003.5,23,22.89,6.98,Bhopal,23.26,77.41
2021-06-02,37.4,26.6,31.6,0.0,0.0,22.7,285,43,1004.9,24,25.06,7.14,Bhopal,23.26,77.41
2021-06-03,36.3,25.0,30.7,0.2,0.2,17.6,263,49,1006.0,38,21.58,5.95,Bhopal,23.26,77.41
2021-06-04,33.6,26.4,30.1,1.8,1.8,13.0,247,53,1006.7,56,18.26,5.07,Bhopal,23.26,77.41
2021-06-05,32.1,26.1,29.1,0.9,0.9,16.3,254,58,1006.3,71,17.54,4.78,Bhopal,23.26,77.41
2021-06-06,32.7,26.0,29.6,1.4,1.4,15.1,252,57,1006.1,56,16.31,4.79,Bhopal,23.26,77.41
2021-06-07,35.0,26.1,30.2,0.4,0.4,17.4,266,58,1005.1,61,17.22,5.43,Bhopal,23.26,77.41
2021-06-08,36.8,26.4,30.8,1.2,1.2,19.8,263,58,1003.4,27,21.91,6.39,Bhopal,23.26,77.41
2021-06-09,36.0,24.2,29.8,4.5,4.5,16.0,231,66,1001.9,37,21.13,5.59,Bhopal,23.26,77.41
2021-06-10,36.9,27.0,31.2,1.7,1.7,22.8,263,56,1000.0,43,20.36,6.24,Bhopal,23.26,77.41
2021-06-11,35.9,26.0,29.3,3.0,3.0,22.8,269,69,999.9,78,19.05,5.35,Bhopal,23.26,77.41
2021-06-12,37.1,25.3,29.4,2.8,2.8,19.6,263,70,1000.2,81,20.01,5.38,Bhopal,23.26,77.41
2021-06-13,34.0,25.6,28.8,2.3,2.3,21.8,285,70,1000.0,59,20.38,5.35,Bhopal,23.26,77.41
2021-06-14,35.0,25.0,28.7,2.8,2.8,22.5,277,70,999.0,66,19.63,5.16,Bhopal,23.26,77.41
2021-06-15,34.1,25.1,28.9,3.6,3.6,21.1,254,68,997.5,51,20.85,5.45,Bhopal,23.26,77.41
2021-06-16,35.0,25.2,29.8,0.1,0.1,20.4,244,60,999.0,65,21.11,5.92,Bhopal,23.26,77.41
2021-06-17,33.4,25.0,28.1,1.9,1.9,17.1,249,70,1000.5,68,13.77,3.99,Bhopal,23.26,77.41
2021-06-18,31.7,23.8,26.9,17.4,17.4,20.0,251,79,1001.2,90,16.85,4.0,Bhopal,23.26,77.41
2021-06-19,27.6,23.8,25.4,42.8,42.8,16.6,246,86,1002.5,99,6.46,1.69,Bhopal,23.26,77.41
2021-06-20,27.9,23.1,25.1,14.3,14.3,23.4,239,82,1004.1,71,12.59,2.9,Bhopal,23.26,77.41
2021-06-21,30.3,23.1,26.6,1.4,1.4,19.8,266,77,1004.7,42,19.08,4.45,Bhopal,23.26,77.41
2021-06-22,31.8,24.0,27.4,5.2,5.2,17.8,274,78,1004.2,65,18.75,4.38,Bhopal,23.26,77.41
2021-06-23,32.5,24.7,27.2,42.7,42.7,16.4,278,83,1003.8,83,18.85,4.24,Bhopal,23.26,77.41
2021-06-24,30.5,23.8,26.8,14.6,14.6,20.4,278,83,1003.6,89,14.84,3.45,Bhopal,23.26,77.41
2021-06-25,30.0,23.8,26.6,6.7,6.7,19.6,272,83,1003.2,85,15.78,3.5,Bhopal,23.26,77.41
2021-06-26,31.8,24.3,27.5,6.4,6.4,21.3,291,79,1003.5,81,20.87,4.68,Bhopal,23.26,77.41
2021-06-27,32.8,24.8,27.9,5.5,5.5,15.3,305,79,1005.2,97,20.38,4.59,Bhopal,23.26,77.41
2021-06-28,33.3,24.8,28.7,0.3,0.3,13.4,269,77,1004.6,82,21.94,4.97,Bhopal,23.26,77.41
2021-06-29,32.9,25.3,28.9,0.6,0.6,17.0,263,77,1004.0,64,20.46,4.81,Bhopal,23.26,77.41
2021-06-30,32.9,26.4,29.3,0.9,0.9,18.4,260,71,1003.2,82,21.84,5.52,Bhopal,23.26,77.41
2021-07-01,32.0,25.5,28.8,1.0,1.0,20.3,249,70,1001.7,89,19.4,5.14,Bhopal,23.26,77.41
2021-07-02,32.2,24.8,28.4,0.2,0.2,23.1,254,65,1002.4,54,20.21,5.57,Bhopal,23.26,77.41
2021-07-03,33.0,24.5,28.9,0.4,0.4,22.3,266,63,1003.9,33,21.37,5.82,Bhopal,23.26,77.41
2021-07-04,31.9,24.8,28.5,1.0,1.0,16.2,275,65,1005.0,61,21.77,5.58,Bhopal,23.26,77.41
2021-07-05,32.7,25.6,29.1,0.3,0.3,15.9,280,64,1004.8,64,22.07,5.68,Bhopal,23.26,77.41
2021-07-06,34.0,25.9,30.0,0.3,0.3,14.3,287,63,1003.6,47,22.08,5.88,Bhopal,23.26,77.41
2021-07-07,34.2,27.0,30.7,0.4,0.4,18.2,289,59,1002.8,66,19.04,5.79,Bhopal,23.26,77.41
2021-07-08,33.3,24.5,27.7,19.4,19.4,15.5,260,75,1003.3,95,12.92,3.67,Bhopal,23.26,77.41
2021-07-09,31.6,23.5,27.3,2.8,2.8,10.8,268,77,1001.9,87,16.56,3.8,Bhopal,23.26,77.41
2021-07-10,32.1,24.2,27.7,16.9,16.9,14.0,269,82,1000.6,84,19.79,4.29,Bhopal,23.26,77.41
2021-07-11,31.3,24.7,27.8,9.9,9.9,13.4,109,82,1000.6,96,17.99,3.88,Bhopal,23.26,77.41
2021-07-12,31.8,25.0,28.1,2.2,2.2,17.1,112,80,1001.4,45,22.23,4.92,Bhopal,23.26,77.41
2021-07-13,32.6,24.9,28.5,1.5,1.5,12.1,123,76,1001.2,25,23.34,5.16,Bhopal,23.26,77.41
2021-07-14,32.1,24.5,28.1,10.2,10.2,11.8,98,81,1001.2,42,20.75,4.42,Bhopal,23.26,77.41
