date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,27.0,17.5,20.6,0.0,0.0,26.0,155,73,1018.5,15,17.69,3.92,Cape Town,-33.93,18.42
2021-04-15,22.3,17.2,18.9,0.0,0.0,35.1,149,79,1018.6,68,16.06,3.13,Cape Town,-33.93,18.42
2021-04-16,29.6,15.7,22.3,0.0,0.0,25.0,151,56,1018.3,1,17.71,3.81,Cape Town,-33.93,18.42
2021-04-17,28.6,13.3,22.2,0.0,0.0,8.2,103,46,1017.2,6,17.82,3.71,Cape Town,-33.93,18.42
2021-04-18,33.0,16.9,22.1,0.0,0.0,17.6,165,42,1015.0,13,16.88,4.49,Cape Town,-33.93,18.42
2021-04-19,22.3,15.8,18.5,0.0,0.0,40.5,145,77,1021.0,44,15.02,3.08,Cape Town,-33.93,18.42
2021-04-20,26.8,14.3,19.3,0.0,0.0,15.2,152,69,1016.5,13,16.86,3.37,Cape Town,-33.93,18.42
2021-04-21,24.3,13.4,18.7,0.0,0.0,19.7,148,78,1015.0,48,16.32,3.06,Cape Town,-33.93,18.42
2021-04-22,24.2,13.0,17.2,0.0,0.0,6.3,255,85,1015.0,24,15.13,2.57,Cape Town,-33.93,18.42
2021-04-23,17.9,12.5,15.0,0.0,0.0,11.9,320,89,1016.2,53,11.65,1.73,Cape Town,-33.93,18.42
2021-04-24,22.1,14.4,17.4,0.0,0.0,24.3,154,79,1013.5,88,15.73,2.89,Cape Town,-33.93,18.42
2021-04-25,20.7,14.5,16.5,0.0,0.0,13.8,344,80,1011.2,97,9.77,1.78,Cape Town,-33.93,18.42
2021-04-26,19.5,14.9,16.4,1.9,1.9,20.5,346,89,1011.7,66,12.74,1.93,Cape Town,-33.93,18.42
2021-04-27,19.4,15.3,17.0,3.4,3.4,17.4,159,87,1013.6,92,11.52,1.95,Cape Town,-33.93,18.42
2021-04-28,19.5,14.1,16.1,0.0,0.0,23.3,169,77,1015.7,22,14.85,2.53,Cape Town,-33.93,18.42
2021-04-29,18.7,12.6,15.4,0.5,0.5,27.7,160,72,1020.9,24,13.89,2.69,Cape Town,-33.93,18.42
2021-04-30,19.3,14.1,15.9,0.0,0.0,19.1,163,72,1024.1,35,14.5,2.66,Cape Town,-33.93,18.42
2021-05-01,21.4,13.3,16.2,0.0,0.0,18.4,154,67,1023.0,0,15.09,3.05,Cape Town,-33.93,18.42
2021-05-02,28.6,12.0,19.9,0.0,0.0,16.3,147,47,1019.0,0,15.22,3.66,Cape Town,-33.93,18.42
2021-05-03,28.3,17.9,21.6,0.0,0.0,15.1,12,40,1014.6,35,14.0,3.97,Cape Town,-33.93,18.42
2021-05-04,21.9,13.9,18.2,0.0,0.0,12.4,209,69,1013.5,14,13.25,2.38,Cape Town,-33.93,18.42
2021-05-05,18.7,12.7,15.1,25.6,25.6,33.5,139,93,1015.6,80,8.91,1.3,Cape Town,-33.93,18.42
2021-05-06,16.5,14.3,15.4,12.6,12.6,34.0,150,89,1019.6,84,7.35,1.29,Cape Town,-33.93,18.42
2021-05-07,18.2,15.1,16.3,1.4,1.4,24.1,178,86,1021.0,76,6.34,1.22,Cape Town,-33.93,18.42
2021-05-08,19.0,12.4,15.6,0.6,0.6,13.5,203,86,1025.1,30,10.32,1.64,Cape Town,-33.93,18.42
2021-05-09,17.8,11.1,14.6,0.0,0.0,8.9,297,89,1025.3,62,12.32,1.8,Cape Town,-33.93,18.42
2021-05-10,20.2,12.7,16.2,0.0,0.0,10.8,184,92,1023.0,56,9.5,1.54,Cape Town,-33.93,18.42
2021-05-11,19.8,13.6,16.0,0.0,0.0,13.8,169,88,1020.7,43,12.6,1.94,Cape Town,-33.93,18.42
2021-05-12,19.0,10.7,14.8,0.0,0.0,10.6,181,87,1019.8,26,11.91,1.82,Cape Town,-33.93,18.42
2021-05-13,18.7,10.0,13.9,0.0,0.0,10.8,341,88,1016.2,49,9.76,1.48,Cape Town,-33.93,18.42
2021-05-14,17.2,11.2,14.8,3.1,3.1,22.7,338,85,1010.6,46,12.21,1.72,Cape Town,-33.93,18.42
2021-05-15,15.3,14.0,14.7,47.2,47.2,30.2,332,98,1010.2,82,2.81,0.38,Cape Town,-33.93,18.42
2021-05-16,16.7,10.6,13.4,0.1,0.1,16.8,238,78,1018.3,17,11.85,1.78,Cape Town,-33.93,18.42
2021-05-17,16.6,8.8,12.6,0.0,0.0,8.1,19,82,1021.5,23,12.31,1.77,Cape Town,-33.93,18.42
2021-05-18,19.0,8.4,13.7,0.0,0.0,10.8,340,67,1015.6,43,12.73,2.11,Cape Town,-33.93,18.42
2021-05-19,16.4,9.2,13.5,6.9,6.9,27.4,342,88,1011.6,61,9.93,1.37,Cape Town,-33.93,18.42
2021-05-20,15.8,13.4,14.3,34.0,34.0,31.3,305,86,1010.4,74,6.6,1.38,Cape Town,-33.93,18.42
2021-05-21,15.6,10.2,13.7,12.5,12.5,31.5,262,72,1022.4,49,10.61,1.91,Cape Town,-33.93,18.42
2021-05-22,15.7,6.9,11.9,0.0,0.0,9.7,113,69,1026.7,12,12.66,1.84,Cape Town,-33.93,18.42
2021-05-23,24.0,9.5,17.0,0.0,0.0,13.5,52,55,1018.2,37,12.59,2.77,Cape Town,-33.93,18.42
2021-05-24,18.2,14.4,15.9,1.4,1.4,23.3,337,74,1015.2,88,9.79,2.17,Cape Town,-33.93,18.42
2021-05-25,16.7,11.2,14.4,1.4,1.4,13.3,336,96,1019.2,68,9.47,1.18,Cape Town,-33.93,18.42
2021-05-26,16.7,11.4,13.6,0.0,0.0,11.7,342,90,1020.4,76,10.29,1.42,Cape Town,-33.93,18.42
2021-05-27,15.8,10.8,13.8,2.4,2.4,23.9,338,94,1016.5,88,6.08,0.83,Cape Town,-33.93,18.42
2021-05-28,17.1,13.5,14.9,13.2,13.2,23.1,324,97,1017.7,77,6.26,0.81,Cape Town,-33.93,18.42
2021-05-29,17.6,13.7,15.2,2.8,2.8,17.0,268,88,1021.0,40,9.39,1.37,Cape Town,-33.93,18.42
2021-05-30,17.2,10.0,13.4,0.0,0.0,8.1,328,85,1022.2,50,10.84,1.56,Cape Town,-33.93,18.42
2021-05-31,16.4,10.6,13.2,4.6,4.6,10.5,276,90,1020.8,68,7.51,1.14,Cape Town,-33.93,18.42
2021-06-01,17.6,10.5,13.8,0.0,0.0,10.1,157,85,1026.5,30,10.8,1.6,Cape Town,-33.93,18.42
2021-06-02,18.7,13.1,15.4,0.0,0.0,26.2,149,84,1029.0,24,10.76,1.82,Cape Town,-33.93,18.42
2021-06-03,18.9,12.4,15.2,0.0,0.0,28.8,138,75,1030.7,14,11.99,2.17,Cape Town,-33.93,18.42
2021-06-04,17.8,8.5,13.5,0.0,0.0,19.4,147,82,1028.4,29,11.87,1.8,Cape Town,-33.93,18.42
2021-06-05,21.9,7.6,14.4,0.0,0.0,12.7,135,68,1024.3,0,11.97,1.92,Cape Town,-33.93,18.42
2021-06-06,24.1,11.1,18.0,0.0,0.0,21.4,23,37,1017.6,22,11.65,4.07,Cape Town,-33.93,18.42
2021-06-07,25.3,17.1,20.4,0.0,0.0,25.9,16,40,1012.1,38,11.1,4.81,Cape Town,-33.93,18.42
