date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-18,35.3,21.3,28.9,0.0,0.0,17.2,323,29,1010.8,4,23.81,6.9,Delhi,28.61,77.21
2021-04-19,37.1,21.4,29.5,0.0,0.0,19.0,312,29,1006.7,6,24.31,7.84,Delhi,28.61,77.21
2021-04-20,33.9,22.4,27.7,0.0,0.0,29.0,16,29,1005.8,64,15.53,7.08,Delhi,28.61,77.21
2021-04-21,31.9,19.0,26.2,0.0,0.0,23.0,267,41,1007.6,19,22.87,6.93,Delhi,28.61,77.21
2021-04-22,33.0,19.8,26.5,0.0,0.0,20.4,73,43,1010.2,5,24.42,6.31,Delhi,28.61,77.21
2021-04-23,34.3,22.5,27.7,0.0,0.0,24.5,110,35,1008.5,33,18.54,7.51,Delhi,28.61,77.21
2021-04-24,33.6,18.9,26.5,0.0,0.0,18.6,330,36,1009.6,0,25.28,7.59,Delhi,28.61,77.21
2021-04-25,36.7,21.0,28.7,0.0,0.0,20.9,317,27,1009.2,0,25.28,8.35,Delhi,28.61,77.21
2021-04-26,38.8,20.9,30.0,0.0,0.0,13.6,299,24,1007.2,0,25.32,7.74,Delhi,28.61,77.21
2021-04-27,41.0,23.4,32.8,0.0,0.0,19.2,306,22,1006.1,4,24.47,8.14,Delhi,28.61,77.21
2021-04-28,41.5,24.2,33.8,0.0,0.0,17.7,298,19,1006.6,9,23.46,8.56,Delhi,28.61,77.21
2021-04-29,40.7,25.5,33.3,0.0,0.0,23.8,319,21,1006.8,20,21.21,8.18,Delhi,28.61,77.21
2021-04-30,39.7,24.6,32.2,0.0,0.0,14.8,72,28,1006.5,46,21.78,7.19,Delhi,28.61,77.21
2021-05-01,39.4,24.9,32.2,0.0,0.0,24.1,139,30,1006.3,55,19.8,6.79,Delhi,28.61,77.21
2021-05-02,38.9,26.1,31.9,0.0,0.0,21.4,140,30,1006.8,56,19.29,6.15,Delhi,28.61,77.21
2021-05-03,37.0,25.2,31.7,0.0,0.0,16.9,290,31,1005.4,37,20.47,6.51,Delhi,28.61,77.21
2021-05-04,40.0,26.1,32.8,0.0,0.0,20.9,112,30,1004.0,48,20.87,7.23,Delhi,28.61,77.21
2021-05-05,38.6,26.1,31.5,0.3,0.3,23.2,94,39,1005.0,21,20.35,7.12,Delhi,28.61,77.21
2021-05-06,38.7,24.0,29.3,6.1,6.1,22.0,86,53,1007.0,42,20.03,6.51,Delhi,28.61,77.21
2021-05-07,36.2,21.7,28.3,4.1,4.1,24.0,68,56,1009.1,16,22.15,5.64,Delhi,28.61,77.21
2021-05-08,37.4,23.6,31.1,0.0,0.0,11.4,40,39,1007.4,37,22.31,6.4,Delhi,28.61,77.21
2021-05-09,37.9,25.2,31.0,0.0,0.0,22.3,125,40,1005.5,24,21.13,6.22,Delhi,28.61,77.21
2021-05-10,36.2,25.0,30.5,0.4,0.4,16.1,111,42,1004.0,31,19.6,6.17,Delhi,28.61,77.21
2021-05-11,38.4,25.0,31.2,0.1,0.1,28.5,111,41,1002.8,22,21.7,7.03,Delhi,28.61,77.21
2021-05-12,35.4,24.2,29.8,0.4,0.4,18.7,100,45,1001.5,23,20.94,6.51,Delhi,28.61,77.21
2021-05-13,31.6,22.2,27.3,1.5,1.5,24.5,91,58,1003.1,37,18.88,5.37,Delhi,28.61,77.21
2021-05-14,36.5,22.7,29.6,0.0,0.0,14.0,71,47,1003.1,22,20.91,6.02,Delhi,28.61,77.21
2021-05-15,35.7,24.7,30.2,0.0,0.0,13.8,67,41,1004.2,22,19.26,5.41,Delhi,28.61,77.21
2021-05-16,38.6,23.8,31.6,0.0,0.0,11.2,52,37,1005.3,15,23.97,6.74,Delhi,28.61,77.21
2021-05-17,37.3,26.5,32.3,0.0,0.0,18.0,199,35,1005.4,89,11.8,4.49,Delhi,28.61,77.21
2021-05-18,29.9,24.5,27.1,1.1,1.1,21.2,193,54,1006.0,98,6.19,3.12,Delhi,28.61,77.21
2021-05-19,24.3,20.8,21.7,98.7,98.7,21.8,64,87,1003.9,100,3.02,0.98,Delhi,28.61,77.21
2021-05-20,29.2,20.4,24.2,31.5,31.5,21.6,1,77,1001.8,50,18.49,4.08,Delhi,28.61,77.21
2021-05-21,31.6,20.8,26.1,2.3,2.3,14.4,112,76,1004.6,26,19.68,4.38,Delhi,28.61,77.21
2021-05-22,33.4,23.8,28.5,0.0,0.0,11.2,171,66,1003.9,13,22.91,5.3,Delhi,28.61,77.21
2021-05-23,33.8,22.8,28.4,0.0,0.0,17.3,278,56,1004.8,21,23.27,6.14,Delhi,28.61,77.21
2021-05-24,35.2,22.8,28.8,0.0,0.0,23.2,298,42,1005.0,0,24.65,7.87,Delhi,28.61,77.21
2021-05-25,37.0,24.9,30.1,0.0,0.0,20.4,321,35,1001.5,0,24.99,8.33,Delhi,28.61,77.21
2021-05-26,37.3,23.4,30.2,0.0,0.0,11.8,309,36,999.3,0,24.78,7.06,Delhi,28.61,77.21
2021-05-27,37.7,23.0,30.2,0.0,0.0,11.8,48,44,999.5,0,24.8,6.47,Delhi,28.61,77.21
2021-05-28,36.7,24.5,30.4,0.0,0.0,20.2,137,59,1001.0,1,24.15,6.56,Delhi,28.61,77.21
2021-05-29,37.1,26.2,31.1,0.0,0.0,21.5,135,55,1002.4,2,23.79,7.34,Delhi,28.61,77.21
2021-05-30,36.0,25.3,30.3,0.7,0.7,18.8,130,63,1002.5,8,23.51,6.2,Delhi,28.61,77.21
2021-05-31,36.8,26.3,31.6,0.1,0.1,12.0,140,59,999.5,26,20.53,5.57,Delhi,28.61,77.21
2021-06-01,34.3,22.5,29.0,0.5,0.5,19.9,116,66,1002.0,26,20.75,5.21,Delhi,28.61,77.21
2021-06-02,34.8,23.5,29.3,5.4,5.4,10.7,314,64,1004.0,34,23.11,5.47,Delhi,28.61,77.21
2021-06-03,35.2,25.2,30.3,0.0,0.0,10.2,68,59,1004.9,23,22.91,5.62,Delhi,28.61,77.21
2021-06-04,36.0,25.2,30.4,0.0,0.0,10.0,32,62,1004.8,26,20.79,5.15,Delhi,28.61,77.21
2021-06-05,36.3,25.8,30.9,0.1,0.1,16.3,121,59,1003.2,10,22.59,5.94,Delhi,28.61,77.21
2021-06-06,37.5,25.9,31.9,0.0,0.0,13.1,276,52,1002.4,7,23.14,6.39,Delhi,28.61,77.21
2021-06-07,39.1,26.7,32.7,0.0,0.0,17.7,338,50,1000.4,9,22.43,6.33,Delhi,28.61,77.21
2021-06-08,40.8,29.0,35.0,0.0,0.0,26.2,276,39,997.9,9,22.02,8.6,Delhi,28.61,77.21
2021-06-09,41.4,31.2,36.0,0.0,0.0,20.8,272,38,996.3,14,21.91,8.83,Delhi,28.61,77.21
2021-06-10,38.1,29.8,33.0,0.0,0.0,22.3,106,58,997.1,17,21.38,6.84,Delhi,28.61,77.21
2021-06-11,37.3,27.4,32.1,0.0,0.0,19.1,100,59,996.9,46,19.98,6.08,Delhi,28.61,77.21
2021-06-12,37.8,28.7,32.4,0.0,0.0,21.7,114,59,998.0,14,21.49,6.84,Delhi,28.61,77.21
2021-06-13,36.7,25.5,30.7,7.2,7.2,17.2,106,67,998.9,20,22.41,5.38,Delhi,28.61,77.21
2021-06-14,36.5,26.2,31.3,0.0,0.0,12.5,100,61,997.1,12,22.49,5.87,Delhi,28.61,77.21
2021-06-15,36.8,26.3,30.6,4.2,4.2,23.8,237,64,994.3,31,19.17,5.27,Delhi,28.61,77.21
2021-06-16,35.3,25.6,29.4,2.3,2.3,13.2,95,72,996.9,34,17.87,4.53,Delhi,28.61,77.21
2021-06-17,34.8,26.1,30.0,0.1,0.1,14.3,76,68,999.0,17,21.0,5.31,Delhi,28.61,77.21
2021-06-18,33.7,25.8,29.3,0.7,0.7,15.6,93,70,999.8,24,20.75,5.34,Delhi,28.61,77.21
2021-06-19,33.3,25.0,28.4,0.2,0.2,17.6,58,72,999.9,24,19.98,5.01,Delhi,28.61,77.21
2021-06-20,33.3,25.1,28.9,1.1,1.1,12.7,63,73,1000.3,60,18.46,4.54,Delhi,28.61,77.21
2021-06-21,36.0,25.2,30.7,0.1,0.1,12.6,38,64,1001.1,16,21.37,5.5,Delhi,28.61,77.21
2021-06-22,39.2,28.4,33.5,0.0,0.0,17.5,289,48,1000.2,33,21.19,6.54,Delhi,28.61,77.21
2021-06-23,40.2,28.8,34.4,0.0,0.0,16.9,95,43,1000.3,19,21.54,6.5,Delhi,28.61,77.21
2021-06-24,38.5,28.2,32.5,0.0,0.0,19.9,123,58,1000.6,14,21.19,6.02,Delhi,28.61,77.21
2021-06-25,39.7,28.4,32.5,1.6,1.6,16.2,218,59,999.8,30,21.71,6.07,Delhi,28.61,77.21
2021-06-26,37.8,26.6,32.0,0.0,0.0,12.2,91,57,1001.4,23,20.34,5.29,Delhi,28.61,77.21
2021-06-27,38.5,28.7,33.4,0.0,0.0,13.1,114,54,1003.8,15,21.25,6.18,Delhi,28.61,77.21
2021-06-28,39.9,28.6,34.3,0.0,0.0,10.3,90,49,1002.4,9,22.8,6.42,Delhi,28.61,77.21
2021-06-29,42.2,29.4,36.1,0.0,0.0,19.9,274,38,999.0,2,24.37,8.43,Delhi,28.61,77.21
2021-06-30,43.2,30.1,36.9,0.0,0.0,33.9,274,30,996.1,40,23.04,10.27,Delhi,28.61,77.21
2021-07-01,41.8,32.2,37.0,0.0,0.0,26.7,255,33,994.7,47,22.47,9.42,Delhi,28.61,77.21
2021-07-02,41.2,31.1,35.5,0.1,0.1,22.4,261,42,996.2,43,21.6,8.27,Delhi,28.61,77.21
2021-07-03,39.0,29.3,33.3,0.0,0.0,24.7,255,50,999.6,55,17.3,5.97,Delhi,28.61,77.21
2021-07-04,40.2,28.5,34.2,0.0,0.0,12.7,266,48,1000.8,34,21.95,6.43,Delhi,28.61,77.21
2021-07-05,39.3,29.3,34.7,0.0,0.0,13.0,309,46,1001.2,37,21.06,6.48,Delhi,28.61,77.21
2021-07-06,39.9,29.6,35.2,0.0,0.0,15.3,292,45,999.7,17,20.73,7.17,Delhi,28.61,77.21
2021-07-07,41.3,31.4,36.2,0.0,0.0,21.3,283,40,998.3,26,21.52,7.72,Delhi,28.61,77.21
