date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-18,32.5,25.6,29.1,0.0,0.0,20.2,274,80,1011.1,20,23.11,4.94,Goa,15.5,73.83
2021-04-19,32.5,26.2,29.3,0.6,0.6,16.9,269,79,1010.0,39,21.29,4.83,Goa,15.5,73.83
2021-04-20,32.3,26.5,29.3,0.0,0.0,20.1,301,73,1009.0,17,24.66,5.65,Goa,15.5,73.83
2021-04-21,32.3,26.0,29.2,0.0,0.0,21.7,306,72,1010.1,50,24.82,5.78,Goa,15.5,73.83
2021-04-22,32.3,25.0,28.9,0.0,0.0,23.4,304,75,1009.9,69,24.1,5.52,Goa,15.5,73.83
2021-04-23,32.2,26.1,29.2,0.0,0.0,19.5,295,75,1010.0,78,21.11,4.94,Goa,15.5,73.83
2021-04-24,32.5,24.9,29.0,0.0,0.0,24.3,313,72,1009.1,29,25.28,5.94,Goa,15.5,73.83
2021-04-25,32.8,24.4,29.1,0.0,0.0,18.7,299,73,1008.5,20,24.85,5.57,Goa,15.5,73.83
2021-04-26,32.9,26.4,29.9,0.0,0.0,19.3,272,78,1008.4,29,22.11,5.0,Goa,15.5,73.83
2021-04-27,32.8,27.5,30.1,0.2,0.2,18.1,284,78,1009.0,37,21.23,4.92,Goa,15.5,73.83
2021-04-28,33.3,26.3,30.0,0.0,0.0,18.1,302,74,1009.8,10,24.76,5.72,Goa,15.5,73.83
2021-04-29,33.3,26.7,29.5,0.3,0.3,28.3,315,78,1009.4,20,21.77,5.01,Goa,15.5,73.83
2021-04-30,33.3,25.3,29.7,0.0,0.0,23.6,303,74,1007.9,6,25.2,5.73,Goa,15.5,73.83
2021-05-01,33.0,26.6,29.9,3.9,3.9,18.4,292,79,1007.3,10,24.51,5.36,Goa,15.5,73.83
2021-05-02,32.8,26.4,29.2,14.9,14.9,19.2,291,80,1008.1,18,23.34,5.1,Goa,15.5,73.83
2021-05-03,33.5,26.2,29.9,2.2,2.2,20.2,299,77,1007.4,20,23.87,5.41,Goa,15.5,73.83
2021-05-04,32.0,27.0,29.2,9.2,9.2,16.2,269,82,1007.7,54,19.18,4.15,Goa,15.5,73.83
2021-05-05,32.8,26.0,29.7,0.5,0.5,20.8,298,79,1007.5,38,20.94,4.91,Goa,15.5,73.83
2021-05-06,33.1,28.0,30.4,0.1,0.1,18.7,252,77,1007.9,62,21.75,4.95,Goa,15.5,73.83
2021-05-07,31.2,26.9,29.4,7.8,7.8,19.2,276,81,1008.9,81,17.92,3.94,Goa,15.5,73.83
2021-05-08,33.4,28.0,30.5,0.2,0.2,18.5,296,74,1007.7,63,23.53,5.41,Goa,15.5,73.83
2021-05-09,32.4,26.9,29.8,1.9,1.9,18.1,285,74,1007.3,66,21.95,5.02,Goa,15.5,73.83
2021-05-10,33.6,27.8,30.3,2.1,2.1,15.6,292,74,1007.0,56,22.82,5.27,Goa,15.5,73.83
2021-05-11,33.6,27.8,30.2,0.3,0.3,19.9,306,73,1007.5,55,21.92,5.31,Goa,15.5,73.83
2021-05-12,33.2,27.1,30.1,0.1,0.1,21.1,304,71,1006.2,59,22.0,5.51,Goa,15.5,73.83
