date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-18,35.2,23.3,29.3,0.0,0.0,8.9,141,45,1011.0,18,20.47,5.43,Hyderabad,17.39,78.49
2021-04-19,35.3,23.2,29.7,0.0,0.0,11.8,231,44,1008.8,16,21.3,5.81,Hyderabad,17.39,78.49
2021-04-20,34.9,24.2,29.8,0.0,0.0,10.4,190,45,1007.9,30,21.2,5.85,Hyderabad,17.39,78.49
2021-04-21,35.9,23.9,29.3,0.1,0.1,14.4,153,53,1009.4,32,22.39,5.81,Hyderabad,17.39,78.49
2021-04-22,34.5,22.9,29.0,0.0,0.0,8.7,118,58,1010.2,38,23.1,5.53,Hyderabad,17.39,78.49
2021-04-23,35.0,23.8,29.3,0.0,0.0,10.6,147,55,1010.1,48,22.54,5.59,Hyderabad,17.39,78.49
2021-04-24,35.5,23.5,29.4,0.0,0.0,11.5,176,48,1009.4,24,24.83,6.14,Hyderabad,17.39,78.49
2021-04-25,36.0,23.1,29.8,0.0,0.0,12.6,122,45,1009.0,17,23.41,6.3,Hyderabad,17.39,78.49
2021-04-26,35.1,24.3,29.8,0.0,0.0,10.7,215,43,1008.7,21,22.6,5.85,Hyderabad,17.39,78.49
2021-04-27,36.0,24.0,29.8,0.0,0.0,11.0,234,44,1009.5,25,23.16,6.11,Hyderabad,17.39,78.49
2021-04-28,36.3,23.7,29.8,0.0,0.0,15.5,141,42,1009.7,21,22.31,6.07,Hyderabad,17.39,78.49
2021-04-29,36.3,23.4,29.4,0.0,0.0,16.6,221,47,1009.2,32,20.51,5.34,Hyderabad,17.39,78.49
2021-04-30,36.2,22.5,29.6,0.0,0.0,11.5,163,47,1008.7,14,24.38,6.12,Hyderabad,17.39,78.49
2021-05-01,36.4,22.9,29.5,0.0,0.0,13.6,129,47,1008.7,26,23.67,6.56,Hyderabad,17.39,78.49
2021-05-02,34.8,22.9,29.0,0.0,0.0,10.3,110,49,1009.2,26,24.53,6.14,Hyderabad,17.39,78.49
2021-05-03,34.3,23.5,28.5,0.0,0.0,9.8,57,55,1009.0,18,23.67,5.61,Hyderabad,17.39,78.49
2021-05-04,34.6,23.5,28.9,0.0,0.0,6.1,129,56,1008.5,22,21.58,4.93,Hyderabad,17.39,78.49
2021-05-05,35.4,24.2,29.6,0.0,0.0,12.7,208,53,1008.2,20,23.66,5.75,Hyderabad,17.39,78.49
2021-05-06,34.8,25.1,29.9,0.0,0.0,15.8,138,51,1009.3,30,22.64,6.07,Hyderabad,17.39,78.49
2021-05-07,34.5,24.0,29.4,0.0,0.0,13.8,124,57,1010.1,42,22.36,5.64,Hyderabad,17.39,78.49
2021-05-08,35.2,25.0,29.6,0.0,0.0,10.2,114,55,1009.3,49,22.96,5.82,Hyderabad,17.39,78.49
2021-05-09,35.2,25.0,29.9,0.1,0.1,11.0,155,54,1007.8,59,23.5,5.74,Hyderabad,17.39,78.49
2021-05-10,35.0,25.5,30.2,0.1,0.1,8.8,154,56,1007.4,40,21.74,5.14,Hyderabad,17.39,78.49
2021-05-11,35.7,25.9,30.3,0.9,0.9,10.1,233,57,1006.8,42,20.52,5.33,Hyderabad,17.39,78.49
2021-05-12,37.0,25.2,31.0,0.0,0.0,12.0,217,52,1005.2,33,24.33,6.47,Hyderabad,17.39,78.49
2021-05-13,35.5,27.0,31.1,0.1,0.1,15.3,237,48,1004.9,40,22.13,6.07,Hyderabad,17.39,78.49
2021-05-14,35.2,26.8,30.0,0.4,0.4,21.5,170,58,1004.7,80,18.85,5.2,Hyderabad,17.39,78.49
2021-05-15,34.2,24.6,28.7,0.7,0.7,27.2,120,68,1004.2,71,20.77,6.0,Hyderabad,17.39,78.49
2021-05-16,32.8,24.2,26.9,11.3,11.3,22.8,129,77,1005.5,88,18.14,4.51,Hyderabad,17.39,78.49
2021-05-17,33.8,23.6,28.2,0.7,0.7,15.2,142,70,1006.6,68,22.36,5.52,Hyderabad,17.39,78.49
2021-05-18,33.8,24.0,29.0,2.2,2.2,16.7,168,64,1006.7,44,22.3,5.78,Hyderabad,17.39,78.49
2021-05-19,34.8,25.4,29.9,0.1,0.1,17.3,216,57,1005.9,36,23.27,6.38,Hyderabad,17.39,78.49
2021-05-20,34.0,24.1,29.1,0.3,0.3,17.4,250,62,1006.4,50,22.63,5.83,Hyderabad,17.39,78.49
2021-05-21,35.5,24.9,30.0,0.0,0.0,14.0,261,53,1006.0,43,22.14,6.13,Hyderabad,17.39,78.49
2021-05-22,35.5,24.2,29.8,0.0,0.0,17.6,262,53,1005.3,79,21.58,5.65,Hyderabad,17.39,78.49
2021-05-23,36.2,26.0,31.2,0.0,0.0,18.5,306,45,1005.2,67,23.02,6.97,Hyderabad,17.39,78.49
