date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-18,35.2,25.5,29.3,0.8,0.8,18.4,206,72,1008.9,21,20.71,5.35,Kolkata,22.57,88.36
2021-04-19,37.0,25.8,30.6,0.0,0.0,18.0,218,66,1006.4,6,22.92,5.94,Kolkata,22.57,88.36
2021-04-20,37.6,26.5,30.4,1.7,1.7,18.8,200,73,1006.3,17,22.41,5.81,Kolkata,22.57,88.36
2021-04-21,36.9,27.0,30.6,5.7,5.7,22.4,193,73,1007.4,46,21.48,5.66,Kolkata,22.57,88.36
2021-04-22,33.4,25.9,29.0,11.6,11.6,18.1,193,79,1008.3,66,15.8,3.75,Kolkata,22.57,88.36
2021-04-23,35.5,24.5,29.5,0.0,0.0,9.4,281,67,1008.1,65,22.12,5.21,Kolkata,22.57,88.36
2021-04-24,37.3,25.0,30.6,0.0,0.0,15.6,192,65,1006.9,29,24.2,6.05,Kolkata,22.57,88.36
2021-04-25,38.9,25.8,31.7,0.0,0.0,16.4,197,62,1006.2,46,22.32,6.32,Kolkata,22.57,88.36
2021-04-26,38.7,26.9,31.5,0.0,0.0,19.2,201,62,1005.8,43,22.38,6.6,Kolkata,22.57,88.36
2021-04-27,38.0,27.0,31.5,0.1,0.1,16.9,201,67,1006.5,27,23.68,5.99,Kolkata,22.57,88.36
2021-04-28,38.0,26.8,31.1,0.4,0.4,15.3,176,71,1008.4,14,22.55,5.77,Kolkata,22.57,88.36
2021-04-29,37.0,25.9,30.7,0.0,0.0,16.4,188,70,1008.3,16,23.9,6.14,Kolkata,22.57,88.36
2021-04-30,35.6,26.0,30.4,1.0,1.0,16.6,196,71,1007.7,25,19.73,5.25,Kolkata,22.57,88.36
2021-05-01,35.0,25.1,29.6,2.8,2.8,19.4,172,71,1008.1,27,20.78,5.11,Kolkata,22.57,88.36
2021-05-02,34.8,25.6,29.7,1.7,1.7,16.7,189,73,1008.4,50,19.84,5.06,Kolkata,22.57,88.36
2021-05-03,34.9,25.6,29.4,0.0,0.0,14.6,211,70,1007.3,59,20.41,4.88,Kolkata,22.57,88.36
2021-05-04,30.1,23.1,26.6,4.2,4.2,13.9,181,83,1008.4,79,13.46,2.96,Kolkata,22.57,88.36
2021-05-05,29.5,24.4,26.7,9.9,9.9,13.3,173,83,1008.6,71,16.69,3.53,Kolkata,22.57,88.36
2021-05-06,33.1,24.5,28.6,0.6,0.6,12.9,179,78,1009.5,58,19.53,4.52,Kolkata,22.57,88.36
2021-05-07,33.2,26.6,29.2,2.1,2.1,16.6,195,76,1009.9,51,19.23,4.73,Kolkata,22.57,88.36
2021-05-08,33.1,26.1,29.0,0.0,0.0,14.3,201,76,1008.8,25,21.0,4.74,Kolkata,22.57,88.36
2021-05-09,34.2,25.4,29.2,1.6,1.6,11.7,189,75,1007.5,36,20.36,4.8,Kolkata,22.57,88.36
2021-05-10,32.9,25.8,28.4,12.3,12.3,17.9,196,81,1006.1,30,19.31,4.34,Kolkata,22.57,88.36
2021-05-11,31.2,24.4,27.4,23.2,23.2,16.9,183,85,1005.6,52,15.63,3.42,Kolkata,22.57,88.36
2021-05-12,32.7,23.6,28.1,0.0,0.0,12.7,150,78,1004.2,28,22.24,4.84,Kolkata,22.57,88.36
2021-05-13,31.0,25.8,28.0,2.1,2.1,16.4,179,83,1003.9,52,14.51,3.29,Kolkata,22.57,88.36
2021-05-14,34.0,24.0,29.0,4.6,4.6,14.3,195,79,1003.3,24,20.74,4.74,Kolkata,22.57,88.36
2021-05-15,36.0,27.1,30.8,0.5,0.5,19.6,192,77,1004.8,18,21.84,5.51,Kolkata,22.57,88.36
2021-05-16,35.8,27.8,31.1,0.1,0.1,17.2,194,75,1006.0,13,22.19,5.67,Kolkata,22.57,88.36
2021-05-17,38.0,28.1,31.9,0.0,0.0,17.3,198,71,1005.6,14,22.82,6.11,Kolkata,22.57,88.36
2021-05-18,38.5,28.1,32.1,0.1,0.1,20.4,199,70,1005.0,42,22.71,6.08,Kolkata,22.57,88.36
