date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,11.0,1.0,6.0,0.0,0.0,19.2,47,70,1032.8,51,17.42,2.42,London,51.51,-0.13
2021-04-15,9.6,-0.6,4.8,0.7,0.7,21.3,37,75,1033.3,29,17.08,2.09,London,51.51,-0.13
2021-04-16,9.8,-1.4,4.9,0.0,0.0,12.2,46,74,1031.4,71,15.19,2.03,London,51.51,-0.13
2021-04-17,11.8,-1.5,5.8,0.0,0.0,15.1,52,67,1029.3,36,22.73,2.95,London,51.51,-0.13
2021-04-18,13.1,2.0,7.5,0.0,0.0,11.5,54,64,1025.3,57,21.34,2.88,London,51.51,-0.13
2021-04-19,15.4,1.2,8.5,0.0,0.0,15.0,99,75,1021.6,18,22.45,3.17,London,51.51,-0.13
2021-04-20,15.6,2.2,9.3,0.0,0.0,11.6,83,77,1018.2,55,18.86,2.78,London,51.51,-0.13
2021-04-21,13.6,4.7,8.9,0.4,0.4,23.4,70,77,1020.9,58,18.11,2.56,London,51.51,-0.13
2021-04-22,12.1,2.7,7.0,0.0,0.0,18.0,74,68,1027.2,34,23.81,3.07,London,51.51,-0.13
2021-04-23,15.1,1.4,7.8,0.0,0.0,19.1,86,70,1028.7,18,24.63,3.44,London,51.51,-0.13
2021-04-24,14.8,4.1,9.1,0.0,0.0,23.2,78,67,1027.7,37,24.2,3.52,London,51.51,-0.13
2021-04-25,12.6,4.2,7.9,0.0,0.0,26.6,61,69,1028.3,55,19.84,2.8,London,51.51,-0.13
2021-04-26,11.8,3.5,7.3,0.0,0.0,20.4,63,63,1021.9,88,21.45,3.02,London,51.51,-0.13
2021-04-27,14.6,1.2,8.1,0.0,0.0,14.2,63,67,1010.8,57,19.48,2.96,London,51.51,-0.13
2021-04-28,12.3,4.6,8.0,4.6,4.6,23.5,46,72,1006.1,82,7.0,1.6,London,51.51,-0.13
2021-04-29,11.2,3.1,7.3,0.4,0.4,19.8,356,66,1011.0,58,17.58,2.5,London,51.51,-0.13
2021-04-30,11.4,0.9,6.5,0.3,0.3,14.1,360,72,1015.0,34,21.54,2.78,London,51.51,-0.13
2021-05-01,12.2,0.9,7.0,0.6,0.6,16.4,14,71,1016.3,21,21.49,2.84,London,51.51,-0.13
2021-05-02,12.6,2.0,7.9,0.3,0.3,16.6,246,72,1020.2,48,21.66,3.08,London,51.51,-0.13
2021-05-03,12.2,4.6,8.7,4.7,4.7,46.4,215,71,1013.2,94,9.86,2.21,London,51.51,-0.13
2021-05-04,13.1,6.2,9.8,1.8,1.8,40.5,268,65,999.5,51,21.24,3.31,London,51.51,-0.13
2021-05-05,12.2,3.3,6.8,3.0,3.0,24.3,274,75,1008.4,44,19.76,2.48,London,51.51,-0.13
2021-05-06,11.4,1.0,6.5,2.6,2.6,18.4,283,71,1007.2,66,19.99,2.64,London,51.51,-0.13
2021-05-07,12.6,3.5,8.3,0.1,0.1,18.9,257,60,1015.2,38,19.06,3.1,London,51.51,-0.13
2021-05-08,16.3,4.1,11.6,9.4,9.4,40.5,194,79,1006.1,77,6.83,1.64,London,51.51,-0.13
