date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,20.6,8.4,14.2,0.0,0.0,18.2,159,55,1018.3,70,17.31,3.69,Moscow,55.76,37.62
2021-04-15,20.1,6.1,12.4,0.0,0.0,27.7,39,63,1015.8,90,14.25,3.04,Moscow,55.76,37.62
2021-04-16,16.9,6.6,11.2,0.1,0.1,23.2,68,59,1019.2,89,17.45,3.45,Moscow,55.76,37.62
2021-04-17,17.5,6.3,11.2,0.0,0.0,24.1,65,48,1021.1,56,19.31,4.11,Moscow,55.76,37.62
2021-04-18,13.9,5.1,8.8,0.6,0.6,25.9,77,51,1021.2,63,17.28,3.39,Moscow,55.76,37.62
2021-04-19,13.2,5.9,8.5,0.0,0.0,23.6,68,53,1022.8,86,13.86,2.95,Moscow,55.76,37.62
2021-04-20,9.0,2.6,5.1,4.9,4.7,24.5,84,65,1020.4,96,10.74,1.99,Moscow,55.76,37.62
2021-04-21,6.9,1.4,4.2,7.2,4.3,18.7,225,81,1007.1,100,6.44,1.11,Moscow,55.76,37.62
2021-04-22,14.2,3.0,8.3,2.2,2.2,24.8,201,76,1013.4,69,16.14,2.23,Moscow,55.76,37.62
2021-04-23,14.4,5.8,9.4,5.9,5.9,24.9,191,82,1013.5,63,15.02,2.04,Moscow,55.76,37.62
2021-04-24,5.4,2.1,4.0,11.2,10.4,22.2,302,90,1007.2,100,6.08,0.73,Moscow,55.76,37.62
2021-04-25,7.2,0.9,3.9,0.4,0.4,36.2,268,62,1006.7,89,15.33,2.29,Moscow,55.76,37.62
2021-04-26,8.1,0.1,4.1,0.2,0.2,27.6,245,60,1011.2,38,19.43,2.5,Moscow,55.76,37.62
2021-04-27,3.8,1.6,2.5,9.6,8.8,20.6,287,88,1007.8,100,6.07,0.71,Moscow,55.76,37.62
2021-04-28,8.9,0.7,4.9,1.4,1.4,23.2,264,75,1012.3,75,14.07,1.84,Moscow,55.76,37.62
2021-04-29,10.4,1.2,6.0,0.0,0.0,17.3,259,66,1018.3,64,14.98,2.21,Moscow,55.76,37.62
2021-04-30,14.9,4.1,9.5,3.6,3.6,33.7,193,71,1009.2,99,6.38,1.8,Moscow,55.76,37.62
2021-05-01,12.2,5.0,9.0,0.4,0.4,21.9,298,65,1009.9,51,19.74,2.87,Moscow,55.76,37.62
2021-05-02,13.2,3.0,8.4,0.0,0.0,15.8,172,62,1016.0,85,15.43,2.67,Moscow,55.76,37.62
2021-05-03,18.2,6.7,11.6,11.5,11.5,27.9,168,80,1001.8,79,10.72,2.09,Moscow,55.76,37.62
2021-05-04,6.8,3.7,5.7,1.7,1.7,35.2,242,66,999.7,85,11.98,2.06,Moscow,55.76,37.62
2021-05-05,13.4,3.4,7.9,1.2,1.2,29.5,257,67,1006.4,76,13.69,2.34,Moscow,55.76,37.62
2021-05-06,15.2,7.2,11.1,3.4,3.4,35.0,196,73,1005.0,90,12.59,2.47,Moscow,55.76,37.62
2021-05-07,13.8,4.0,9.1,0.2,0.2,19.3,226,63,1010.6,56,22.96,3.37,Moscow,55.76,37.62
2021-05-08,9.9,7.1,8.7,24.9,24.9,25.5,156,83,1007.0,100,2.65,0.9,Moscow,55.76,37.62
2021-05-09,9.1,4.7,6.8,4.0,4.0,31.1,325,77,1011.1,91,5.45,1.25,Moscow,55.76,37.62
2021-05-10,15.4,2.6,8.7,0.0,0.0,19.6,4,56,1025.3,0,26.73,3.89,Moscow,55.76,37.62
2021-05-11,20.8,3.7,12.6,0.0,0.0,19.6,53,62,1026.3,1,25.82,4.28,Moscow,55.76,37.62
2021-05-12,23.4,8.5,14.9,1.0,1.0,25.7,103,74,1022.8,77,12.99,2.93,Moscow,55.76,37.62
2021-05-13,18.8,7.1,13.2,0.1,0.1,21.8,145,74,1017.6,54,21.24,3.5,Moscow,55.76,37.62
2021-05-14,22.3,7.4,14.9,0.7,0.7,20.7,136,75,1015.1,72,22.35,3.88,Moscow,55.76,37.62
2021-05-15,22.7,13.4,17.3,0.8,0.8,25.5,174,77,1008.3,71,18.66,3.43,Moscow,55.76,37.62
2021-05-16,23.0,11.4,16.7,1.9,1.9,22.1,209,74,1011.9,19,22.7,3.95,Moscow,55.76,37.62
2021-05-17,28.1,10.1,19.9,0.0,0.0,25.1,103,64,1011.5,38,26.11,5.54,Moscow,55.76,37.62
2021-05-18,28.9,15.9,22.0,0.0,0.0,25.3,123,47,1007.4,37,26.36,6.85,Moscow,55.76,37.62
2021-05-19,24.0,15.9,20.9,0.5,0.5,31.3,139,52,1005.3,27,24.12,5.74,Moscow,55.76,37.62
2021-05-20,19.9,12.4,16.2,0.8,0.8,23.2,140,73,1003.4,78,16.79,3.19,Moscow,55.76,37.62
2021-05-21,16.3,12.0,13.7,0.4,0.4,26.1,215,75,1005.1,80,12.33,2.31,Moscow,55.76,37.62
2021-05-22,20.0,6.1,14.2,0.1,0.1,23.7,227,57,1013.7,18,24.71,4.6,Moscow,55.76,37.62
2021-05-23,22.2,10.1,15.9,0.0,0.0,26.2,195,60,1012.2,45,21.28,4.64,Moscow,55.76,37.62
2021-05-24,20.0,9.1,14.7,0.0,0.0,21.1,259,60,1016.5,48,21.32,4.07,Moscow,55.76,37.62
2021-05-25,20.2,8.2,14.7,0.0,0.0,13.0,316,57,1022.0,48,23.32,4.17,Moscow,55.76,37.62
2021-05-26,23.5,9.1,17.5,0.5,0.5,16.5,165,54,1020.2,63,24.16,4.97,Moscow,55.76,37.62
2021-05-27,20.2,14.6,16.7,11.3,11.3,11.7,192,85,1017.4,89,11.51,2.08,Moscow,55.76,37.62
2021-05-28,22.0,14.0,17.6,1.2,1.2,8.9,241,78,1013.4,93,11.8,2.35,Moscow,55.76,37.62
2021-05-29,19.0,11.3,15.1,14.1,14.1,26.4,13,81,1009.8,92,10.9,2.09,Moscow,55.76,37.62
2021-05-30,13.9,8.1,11.2,0.0,0.0,28.3,28,58,1015.9,91,21.63,3.84,Moscow,55.76,37.62
2021-05-31,12.9,6.2,9.9,0.0,0.0,16.8,51,55,1019.6,75,17.99,3.17,Moscow,55.76,37.62
2021-06-01,17.0,4.9,11.5,0.0,0.0,18.1,11,59,1020.4,47,21.41,3.68,Moscow,55.76,37.62
2021-06-02,19.4,7.1,14.1,0.0,0.0,21.9,31,54,1023.1,28,21.75,4.37,Moscow,55.76,37.62
2021-06-03,21.5,8.7,14.8,0.0,0.0,28.1,38,51,1024.4,8,28.3,5.38,Moscow,55.76,37.62
2021-06-04,22.3,10.6,16.5,0.0,0.0,25.7,54,50,1023.5,13,29.19,5.82,Moscow,55.76,37.62
2021-06-05,22.9,10.4,17.5,0.0,0.0,23.6,72,53,1018.2,31,25.43,5.43,Moscow,55.76,37.62
2021-06-06,24.0,11.4,17.8,1.2,1.2,19.8,69,70,1014.2,46,22.46,4.36,Moscow,55.76,37.62
2021-06-07,22.6,12.4,17.9,2.3,2.3,12.8,62,76,1012.4,81,21.33,3.82,Moscow,55.76,37.62
2021-06-08,21.8,12.1,17.3,5.6,5.6,14.3,43,84,1011.4,76,18.43,3.14,Moscow,55.76,37.62
2021-06-09,19.6,13.8,17.0,5.6,5.6,21.4,51,82,1011.5,95,14.2,2.62,Moscow,55.76,37.62
2021-06-10,17.0,13.4,15.1,8.3,8.3,19.6,50,83,1012.5,99,8.08,1.71,Moscow,55.76,37.62
2021-06-11,18.7,12.2,15.5,11.2,11.2,18.6,65,88,1012.5,86,12.82,2.08,Moscow,55.76,37.62
2021-06-12,21.3,14.1,17.6,1.7,1.7,10.4,126,82,1009.1,67,17.13,3.01,Moscow,55.76,37.62
2021-06-13,23.3,12.5,18.6,3.6,3.6,15.1,205,76,1006.8,34,23.55,4.2,Moscow,55.76,37.62
2021-06-14,25.7,13.1,20.0,3.0,3.0,16.5,243,78,1013.1,30,24.21,4.44,Moscow,55.76,37.62
2021-06-15,25.0,14.6,20.5,0.2,0.2,14.8,286,80,1012.9,29,22.76,4.2,Moscow,55.76,37.62
2021-06-16,23.1,14.7,19.4,0.1,0.1,20.8,339,65,1013.2,27,25.38,4.97,Moscow,55.76,37.62
2021-06-17,24.1,10.9,18.5,0.0,0.0,13.8,1,57,1022.9,10,29.32,5.54,Moscow,55.76,37.62
2021-06-18,25.2,13.4,20.0,0.0,0.0,10.1,200,58,1026.6,12,29.04,5.5,Moscow,55.76,37.62
2021-06-19,27.6,14.1,21.8,0.0,0.0,12.5,227,61,1024.9,0,29.16,5.9,Moscow,55.76,37.62
2021-06-20,29.2,14.9,23.4,0.0,0.0,10.6,219,62,1022.0,3,29.01,5.95,Moscow,55.76,37.62
2021-06-21,30.4,17.6,24.9,0.0,0.0,10.2,205,59,1020.6,70,28.0,5.98,Moscow,55.76,37.62
2021-06-22,32.4,17.2,26.2,0.0,0.0,10.5,159,58,1020.5,6,28.4,6.28,Moscow,55.76,37.62
2021-06-23,33.3,19.5,27.9,0.0,0.0,9.4,209,53,1020.8,4,28.39,6.16,Moscow,55.76,37.62
2021-06-24,33.2,19.4,28.0,0.0,0.0,12.9,222,55,1019.3,29,26.48,6.25,Moscow,55.76,37.62
2021-06-25,32.2,21.4,27.6,0.9,0.9,16.9,250,56,1016.2,58,25.68,6.07,Moscow,55.76,37.62
2021-06-26,32.1,18.9,27.0,0.0,0.0,10.8,253,59,1013.3,39,27.37,6.04,Moscow,55.76,37.62
2021-06-27,31.8,20.5,26.7,0.9,0.9,14.3,173,62,1011.0,43,23.61,5.34,Moscow,55.76,37.62
2021-06-28,30.0,19.5,24.5,7.1,7.1,23.3,147,73,1005.2,50,22.45,4.96,Moscow,55.76,37.62
2021-06-29,22.6,16.7,19.8,1.6,1.6,24.5,236,78,1004.6,57,16.39,3.35,Moscow,55.76,37.62
2021-06-30,22.4,14.4,18.2,1.1,1.1,26.5,246,76,1006.1,64,16.64,3.37,Moscow,55.76,37.62
2021-07-01,23.0,17.0,19.8,4.2,4.2,20.0,329,83,1007.4,80,16.62,3.17,Moscow,55.76,37.62
2021-07-02,22.1,16.2,19.3,1.1,1.1,16.1,357,80,1009.4,53,17.92,3.33,Moscow,55.76,37.62
2021-07-03,21.5,14.4,18.7,0.0,0.0,17.0,21,72,1011.5,53,20.07,3.87,Moscow,55.76,37.62
2021-07-04,22.2,15.0,18.8,0.2,0.2,18.4,53,72,1013.3,71,14.4,2.96,Moscow,55.76,37.62
2021-07-05,25.4,15.0,20.7,0.0,0.0,17.9,69,56,1015.4,11,28.36,6.0,Moscow,55.76,37.62
2021-07-06,27.0,14.7,21.4,0.0,0.0,15.9,80,55,1018.0,4,28.55,6.03,Moscow,55.76,37.62
2021-07-07,27.9,13.4,22.1,0.0,0.0,9.4,113,54,1022.4,0,28.51,5.58,Moscow,55.76,37.62
2021-07-08,29.5,14.9,23.8,0.0,0.0,9.5,271,54,1024.9,26,27.67,5.81,Moscow,55.76,37.62
2021-07-09,31.4,17.0,25.3,0.0,0.0,10.2,302,52,1022.6,7,27.91,6.29,Moscow,55.76,37.62
2021-07-10,32.4,19.2,26.1,0.1,0.1,16.2,339,56,1018.6,25,20.7,5.25,Moscow,55.76,37.62
2021-07-11,31.2,20.5,26.4,0.0,0.0,14.5,45,55,1017.7,6,26.4,6.2,Moscow,55.76,37.62
2021-07-12,30.9,17.8,25.3,0.0,0.0,9.4,92,48,1019.2,0,27.38,6.11,Moscow,55.76,37.62
2021-07-13,32.0,17.5,26.3,0.0,0.0,12.1,224,48,1018.1,0,27.09,6.14,Moscow,55.76,37.62
2021-07-14,33.0,19.7,27.4,0.0,0.0,13.3,253,49,1015.7,16,23.76,6.16,Moscow,55.76,37.62
2021-07-15,31.7,19.2,24.9,0.3,0.3,17.5,273,66,1012.5,40,21.07,4.56,Moscow,55.76,37.62
2021-07-16,31.8,19.4,26.4,0.0,0.0,14.3,321,63,1011.1,29,23.31,5.58,Moscow,55.76,37.62
2021-07-17,30.5,20.4,25.7,1.8,1.8,19.5,325,66,1011.0,39,21.2,4.81,Moscow,55.76,37.62
2021-07-18,30.1,18.8,25.0,0.1,0.1,15.5,283,63,1008.9,54,21.84,4.85,Moscow,55.76,37.62
2021-07-19,29.1,19.3,24.7,0.0,0.0,16.3,272,65,1006.8,61,21.77,5.21,Moscow,55.76,37.62
2021-07-20,26.0,18.5,22.7,0.0,0.0,20.7,309,56,1007.6,50,25.11,5.74,Moscow,55.76,37.62
2021-07-21,24.3,14.7,19.9,0.0,0.0,20.4,309,58,1008.0,73,21.36,4.63,Moscow,55.76,37.62
2021-07-22,22.2,13.6,18.1,0.0,0.0,24.1,327,57,1009.7,22,25.1,5.12,Moscow,55.76,37.62
2021-07-23,21.5,13.1,17.7,1.1,1.1,30.1,279,62,1007.5,47,17.4,3.96,Moscow,55.76,37.62
2021-07-24,21.1,12.4,17.0,0.5,0.5,12.1,331,63,1012.8,57,17.41,3.48,Moscow,55.76,37.62
2021-07-25,23.2,11.6,18.3,0.3,0.3,12.9,235,57,1019.9,53,17.01,3.68,Moscow,55.76,37.62
2021-07-26,26.0,13.9,20.6,0.0,0.0,14.1,267,56,1021.8,44,19.44,4.37,Moscow,55.76,37.62
2021-07-27,28.1,13.9,22.1,0.0,0.0,8.6,1,57,1019.8,14,24.6,4.7,Moscow,55.76,37.62
2021-07-28,24.4,15.4,19.9,6.2,6.2,16.8,140,77,1014.2,89,9.53,2.26,Moscow,55.76,37.62
