date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-18,34.2,24.8,29.5,0.0,0.0,19.5,313,76,1010.6,3,25.45,5.92,Mumbai,19.08,72.88
2021-04-19,32.6,24.8,28.7,0.0,0.0,18.3,263,78,1009.6,3,25.75,5.66,Mumbai,19.08,72.88
2021-04-20,32.0,25.6,28.5,0.0,0.0,14.9,275,78,1008.9,26,24.98,5.42,Mumbai,19.08,72.88
2021-04-21,32.0,25.3,28.3,0.0,0.0,20.0,298,77,1010.2,73,24.09,5.28,Mumbai,19.08,72.88
2021-04-22,32.8,25.1,28.3,0.0,0.0,23.4,331,77,1010.2,87,22.31,5.18,Mumbai,19.08,72.88
2021-04-23,33.3,24.1,28.2,0.0,0.0,21.5,311,72,1010.1,81,25.25,5.93,Mumbai,19.08,72.88
2021-04-24,32.2,23.9,27.7,0.0,0.0,22.2,320,77,1009.6,37,26.11,5.74,Mumbai,19.08,72.88
2021-04-25,33.6,24.2,29.0,0.0,0.0,23.9,320,78,1008.2,48,25.25,5.72,Mumbai,19.08,72.88
2021-04-26,33.4,26.8,29.9,0.0,0.0,17.4,259,79,1008.0,12,24.61,5.44,Mumbai,19.08,72.88
2021-04-27,33.7,26.9,29.7,0.0,0.0,17.4,255,75,1009.0,3,25.19,5.74,Mumbai,19.08,72.88
2021-04-28,34.2,25.8,29.7,0.0,0.0,21.6,296,75,1009.9,3,25.32,5.77,Mumbai,19.08,72.88
2021-04-29,34.0,26.5,29.6,0.0,0.0,22.1,307,79,1009.4,25,25.48,5.67,Mumbai,19.08,72.88
2021-04-30,32.4,26.3,29.2,0.0,0.0,16.6,298,79,1008.5,30,25.26,5.5,Mumbai,19.08,72.88
2021-05-01,34.2,27.0,30.0,0.0,0.0,20.9,322,74,1007.5,59,21.59,5.17,Mumbai,19.08,72.88
2021-05-02,33.6,27.8,30.2,0.0,0.0,15.9,280,77,1008.0,39,22.65,5.16,Mumbai,19.08,72.88
2021-05-03,34.3,26.8,30.2,0.0,0.0,19.3,308,75,1007.7,9,25.37,5.83,Mumbai,19.08,72.88
2021-05-04,33.6,26.6,30.0,0.0,0.0,20.3,313,73,1007.5,0,25.67,6.04,Mumbai,19.08,72.88
2021-05-05,33.3,26.9,30.0,0.0,0.0,20.8,301,75,1007.4,1,25.79,5.84,Mumbai,19.08,72.88
2021-05-06,32.8,27.0,29.6,0.0,0.0,18.3,285,79,1008.0,7,25.65,5.6,Mumbai,19.08,72.88
2021-05-07,32.9,26.8,29.8,0.0,0.0,20.0,296,78,1008.8,6,25.51,5.62,Mumbai,19.08,72.88
2021-05-08,33.3,26.8,29.8,0.0,0.0,19.8,296,78,1007.7,15,25.62,5.69,Mumbai,19.08,72.88
2021-05-09,32.9,27.5,29.9,0.0,0.0,17.7,267,77,1007.0,11,25.07,5.6,Mumbai,19.08,72.88
