date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,20.2,5.9,12.9,0.0,0.0,20.6,227,76,1015.9,60,17.27,3.0,New York,40.71,-74.01
2021-04-15,13.1,7.9,11.0,15.0,15.0,18.8,166,94,1007.1,95,4.45,0.72,New York,40.71,-74.01
2021-04-16,12.4,3.8,7.9,1.9,1.9,25.5,305,74,1004.4,56,18.69,2.52,New York,40.71,-74.01
2021-04-17,12.2,5.2,8.7,0.3,0.3,18.9,314,71,1008.2,87,12.36,2.02,New York,40.71,-74.01
2021-04-18,15.6,5.6,10.7,0.0,0.0,14.2,285,66,1010.3,55,16.38,2.69,New York,40.71,-74.01
2021-04-19,17.1,5.9,11.5,0.0,0.0,16.2,210,73,1010.8,41,18.62,2.96,New York,40.71,-74.01
2021-04-20,21.8,6.6,14.4,0.0,0.0,26.8,224,63,1012.6,28,23.77,4.67,New York,40.71,-74.01
2021-04-21,18.5,4.2,12.0,2.2,2.2,31.1,258,61,1006.4,48,17.94,3.43,New York,40.71,-74.01
2021-04-22,8.3,1.5,5.0,0.0,0.0,34.7,289,45,1011.1,50,18.27,3.2,New York,40.71,-74.01
2021-04-23,15.8,2.2,9.2,0.0,0.0,30.1,273,45,1015.2,18,26.07,4.5,New York,40.71,-74.01
2021-04-24,20.2,5.3,13.1,0.0,0.0,29.0,223,50,1014.9,49,24.64,4.79,New York,40.71,-74.01
2021-04-25,16.9,8.7,12.1,13.0,13.0,19.7,343,73,1007.4,80,10.69,2.09,New York,40.71,-74.01
2021-04-26,14.1,3.8,9.3,0.0,0.0,28.4,312,47,1016.0,11,27.46,4.39,New York,40.71,-74.01
2021-04-27,14.8,4.1,9.9,0.6,0.4,16.4,153,54,1017.7,50,23.42,3.57,New York,40.71,-74.01
2021-04-28,27.2,8.3,16.8,0.0,0.0,17.6,139,72,1010.5,90,21.71,4.11,New York,40.71,-74.01
2021-04-29,23.0,12.7,18.0,2.9,2.9,27.2,200,82,1004.7,98,9.04,2.08,New York,40.71,-74.01
2021-04-30,19.8,8.0,16.0,0.4,0.4,40.0,289,57,998.6,41,21.91,4.97,New York,40.71,-74.01
2021-05-01,17.6,5.2,11.0,0.0,0.0,33.0,303,48,1010.6,33,27.72,4.88,New York,40.71,-74.01
2021-05-02,26.5,11.4,18.4,0.0,0.0,24.1,248,48,1008.0,75,21.35,5.51,New York,40.71,-74.01
2021-05-03,16.4,11.8,14.4,6.2,6.2,14.7,52,77,1010.4,97,7.74,1.75,New York,40.71,-74.01
2021-05-04,22.5,11.4,15.0,10.9,10.9,22.8,76,86,1007.1,96,15.84,2.67,New York,40.71,-74.01
2021-05-05,15.6,11.0,12.7,9.2,9.2,22.7,19,92,1006.7,95,6.53,1.16,New York,40.71,-74.01
2021-05-06,17.5,8.9,13.1,0.0,0.0,23.6,314,56,1013.2,42,26.67,4.67,New York,40.71,-74.01
2021-05-07,16.7,8.0,12.1,0.0,0.0,16.8,78,60,1012.7,83,23.81,3.97,New York,40.71,-74.01
2021-05-08,11.7,7.9,10.1,2.7,2.7,20.1,145,78,1011.6,81,12.6,1.86,New York,40.71,-74.01
2021-05-09,17.0,5.9,10.5,8.3,8.3,20.4,246,75,1016.0,67,18.46,2.92,New York,40.71,-74.01
2021-05-10,15.3,8.3,11.4,2.9,2.9,20.3,339,75,1011.6,84,13.39,2.35,New York,40.71,-74.01
2021-05-11,17.0,8.2,12.4,0.3,0.3,27.0,291,56,1017.1,60,21.31,4.07,New York,40.71,-74.01
2021-05-12,18.1,6.1,12.0,0.0,0.0,20.3,317,54,1021.0,16,27.62,4.66,New York,40.71,-74.01
2021-05-13,19.5,7.6,13.9,0.0,0.0,16.6,311,49,1022.6,12,26.37,4.82,New York,40.71,-74.01
2021-05-14,22.2,7.7,15.5,0.0,0.0,15.8,268,53,1023.0,13,26.81,5.09,New York,40.71,-74.01
2021-05-15,22.9,8.5,16.6,0.0,0.0,13.3,215,53,1023.6,27,26.65,5.11,New York,40.71,-74.01
2021-05-16,22.0,10.3,16.6,0.0,0.0,22.3,259,55,1024.2,81,20.3,4.28,New York,40.71,-74.01
2021-05-17,23.1,9.8,16.8,0.0,0.0,19.0,221,61,1025.2,20,25.93,5.0,New York,40.71,-74.01
2021-05-18,26.7,11.3,19.5,0.0,0.0,14.8,254,51,1025.4,29,24.97,5.41,New York,40.71,-74.01
2021-05-19,28.9,13.2,21.1,0.0,0.0,19.1,342,54,1025.5,12,28.52,6.36,New York,40.71,-74.01
2021-05-20,21.8,12.6,16.8,0.0,0.0,20.2,144,63,1031.1,56,28.03,5.0,New York,40.71,-74.01
2021-05-21,23.2,11.9,17.7,0.0,0.0,19.7,172,65,1031.5,28,28.03,5.05,New York,40.71,-74.01
2021-05-22,31.0,17.0,24.2,0.0,0.0,21.4,300,54,1021.6,83,19.17,5.37,New York,40.71,-74.01
2021-05-23,31.8,19.8,25.3,0.0,0.0,28.1,322,59,1013.8,68,22.18,6.29,New York,40.71,-74.01
2021-05-24,19.2,14.0,16.2,0.0,0.0,22.7,123,57,1024.4,74,18.87,4.09,New York,40.71,-74.01
2021-05-25,21.8,13.4,17.6,0.0,0.0,26.0,181,64,1023.4,73,24.3,4.57,New York,40.71,-74.01
2021-05-26,29.5,17.6,23.3,1.8,1.8,25.3,210,73,1015.8,50,23.46,5.2,New York,40.71,-74.01
2021-05-27,28.0,18.8,23.0,2.6,2.6,21.4,316,60,1013.5,40,29.17,6.6,New York,40.71,-74.01
2021-05-28,19.1,10.6,15.1,25.5,25.5,26.8,62,65,1016.4,81,14.37,3.34,New York,40.71,-74.01
2021-05-29,11.3,8.6,10.0,28.1,28.1,32.4,39,87,1016.1,100,5.8,1.16,New York,40.71,-74.01
2021-05-30,11.8,8.6,10.1,14.1,14.1,30.3,23,90,1020.9,100,4.99,0.91,New York,40.71,-74.01
2021-05-31,20.7,9.6,14.2,0.8,0.8,21.4,319,74,1022.2,83,15.75,2.86,New York,40.71,-74.01
2021-06-01,24.0,9.8,17.0,0.0,0.0,18.4,222,73,1024.1,88,20.57,3.96,New York,40.71,-74.01
2021-06-02,21.9,12.8,17.5,0.0,0.0,17.0,177,77,1023.3,96,19.27,3.53,New York,40.71,-74.01
2021-06-03,22.6,13.4,17.9,13.8,13.8,13.0,163,92,1017.3,97,12.83,2.2,New York,40.71,-74.01
2021-06-04,25.6,17.9,21.0,5.1,5.1,17.1,235,86,1013.0,79,15.14,2.9,New York,40.71,-74.01
2021-06-05,31.8,17.4,24.3,0.0,0.0,21.3,247,71,1013.2,13,27.31,6.1,New York,40.71,-74.01
2021-06-06,31.6,20.4,25.9,0.0,0.0,16.3,218,66,1016.6,15,25.9,5.96,New York,40.71,-74.01
2021-06-07,30.5,21.0,25.5,0.3,0.3,17.0,204,77,1018.1,55,22.08,4.65,New York,40.71,-74.01
2021-06-08,30.4,22.0,25.4,5.8,5.8,16.3,215,86,1017.0,83,19.21,3.88,New York,40.71,-74.01
2021-06-09,30.6,21.6,25.8,1.4,1.4,11.6,285,82,1015.1,77,24.02,4.92,New York,40.71,-74.01
2021-06-10,26.7,17.1,22.7,0.2,0.2,23.7,81,65,1016.1,58,25.5,5.36,New York,40.71,-74.01
2021-06-11,21.0,15.6,17.9,0.5,0.5,14.9,95,72,1015.3,89,11.65,2.62,New York,40.71,-74.01
2021-06-12,21.5,16.3,18.7,0.4,0.4,15.2,110,80,1011.2,82,15.16,2.84,New York,40.71,-74.01
2021-06-13,23.8,14.9,18.9,0.1,0.1,19.1,182,78,1012.9,61,19.1,3.66,New York,40.71,-74.01
2021-06-14,21.5,17.8,19.3,17.8,17.8,22.4,153,85,1010.4,76,16.67,2.74,New York,40.71,-74.01
2021-06-15,25.6,17.5,21.1,0.6,0.6,17.9,298,74,1007.4,43,24.79,5.01,New York,40.71,-74.01
2021-06-16,23.5,15.5,19.7,0.0,0.0,20.5,319,58,1010.8,14,29.83,5.9,New York,40.71,-74.01
2021-06-17,24.2,12.6,18.8,0.0,0.0,13.6,316,55,1015.0,18,30.29,5.85,New York,40.71,-74.01
2021-06-18,27.7,13.6,21.0,0.0,0.0,20.5,212,58,1014.9,49,27.51,6.06,New York,40.71,-74.01
2021-06-19,32.5,19.7,24.4,2.0,2.0,22.9,240,67,1008.6,96,21.46,5.32,New York,40.71,-74.01
2021-06-20,29.4,17.5,23.2,0.3,0.3,21.6,208,79,1009.1,33,24.05,4.73,New York,40.71,-74.01
2021-06-21,28.0,21.8,24.9,0.5,0.5,27.3,179,83,1005.5,75,23.28,4.39,New York,40.71,-74.01
2021-06-22,24.7,15.4,20.8,8.8,8.8,24.3,305,85,1006.8,91,9.91,2.12,New York,40.71,-74.01
2021-06-23,23.4,12.6,18.1,0.0,0.0,17.3,310,59,1020.9,33,26.29,5.13,New York,40.71,-74.01
2021-06-24,23.0,13.8,18.6,0.0,0.0,20.8,141,67,1027.7,18,29.14,5.14,New York,40.71,-74.01
2021-06-25,24.4,16.0,19.7,0.0,0.0,22.8,144,78,1025.4,73,28.56,4.96,New York,40.71,-74.01
2021-06-26,26.5,18.8,22.9,1.8,1.8,25.3,179,87,1023.1,87,19.48,3.56,New York,40.71,-74.01
2021-06-27,29.5,22.3,25.8,0.5,0.5,19.6,196,80,1021.3,84,19.84,4.36,New York,40.71,-74.01
2021-06-28,32.8,23.1,27.7,0.0,0.0,23.1,212,72,1022.0,67,24.87,5.86,New York,40.71,-74.01
2021-06-29,33.7,24.2,28.7,0.0,0.0,23.1,231,71,1021.4,15,25.32,6.03,New York,40.71,-74.01
2021-06-30,35.6,25.1,30.0,0.0,0.0,19.0,243,64,1015.2,22,24.45,6.41,New York,40.71,-74.01
2021-07-01,28.8,22.0,25.1,22.9,22.9,13.6,274,81,1010.9,69,14.49,3.15,New York,40.71,-74.01
2021-07-02,24.6,20.1,22.2,28.0,28.0,10.2,258,89,1007.0,100,12.07,2.42,New York,40.71,-74.01
2021-07-03,19.7,16.8,17.9,16.7,16.7,27.1,42,89,1008.7,99,11.03,1.9,New York,40.71,-74.01
2021-07-04,25.2,15.9,20.5,1.7,1.7,12.0,275,77,1012.0,44,23.61,4.3,New York,40.71,-74.01
2021-07-05,26.5,18.2,22.9,0.2,0.2,22.5,151,82,1016.5,31,23.55,4.55,New York,40.71,-74.01
2021-07-06,33.5,22.1,26.6,0.6,0.6,29.8,230,73,1014.7,80,24.76,5.88,New York,40.71,-74.01
2021-07-07,32.0,22.2,26.9,1.0,1.0,19.5,211,79,1013.6,23,24.81,5.14,New York,40.71,-74.01
2021-07-08,28.1,21.6,24.8,12.2,12.2,23.9,129,87,1014.6,90,15.57,3.13,New York,40.71,-74.01
2021-07-09,30.2,22.0,24.9,37.2,37.2,33.6,338,83,1009.8,83,17.51,3.72,New York,40.71,-74.01
2021-07-10,26.0,21.0,23.4,1.0,1.0,15.5,2,84,1014.6,49,18.39,3.53,New York,40.71,-74.01
2021-07-11,24.9,20.1,22.7,2.5,2.5,17.3,140,89,1018.7,88,11.09,2.21,New York,40.71,-74.01
2021-07-12,28.6,22.5,25.0,16.2,16.2,13.1,131,91,1018.8,96,14.4,2.9,New York,40.71,-74.01
2021-07-13,26.0,21.3,23.1,1.8,1.8,13.8,99,90,1022.7,99,12.26,2.43,New York,40.71,-74.01
2021-07-14,30.8,21.8,25.1,1.3,1.3,14.9,186,85,1020.5,78,20.31,4.15,New York,40.71,-74.01
2021-07-15,29.5,21.4,25.9,0.1,0.1,15.0,209,81,1018.3,45,23.33,4.81,New York,40.71,-74.01
2021-07-16,32.6,23.5,27.9,0.4,0.4,13.1,235,74,1015.8,41,24.54,5.4,New York,40.71,-74.01
2021-07-17,30.9,23.6,27.0,8.7,8.7,22.3,205,83,1016.5,87,22.44,4.67,New York,40.71,-74.01
2021-07-18,28.6,23.4,25.4,15.0,15.0,20.4,232,79,1014.2,78,21.4,4.57,New York,40.71,-74.01
2021-07-19,27.9,21.1,24.2,0.2,0.2,13.2,307,74,1014.3,56,21.24,4.41,New York,40.71,-74.01
2021-07-20,31.2,21.3,25.8,0.0,0.0,17.4,281,75,1012.4,10,25.01,5.17,New York,40.71,-74.01
2021-07-21,28.2,21.2,24.2,5.3,5.3,14.9,315,78,1011.7,30,20.21,4.05,New York,40.71,-74.01
2021-07-22,27.0,18.0,22.6,0.0,0.0,15.6,329,67,1017.5,44,23.54,5.0,New York,40.71,-74.01
2021-07-23,26.5,17.6,22.6,0.0,0.0,12.4,341,62,1019.6,17,24.69,5.1,New York,40.71,-74.01
2021-07-24,27.0,18.4,22.9,0.0,0.0,17.2,159,71,1018.6,42,24.68,5.04,New York,40.71,-74.01
2021-07-25,28.9,20.1,24.5,7.9,7.9,20.7,199,77,1012.8,72,16.11,3.76,New York,40.71,-74.01
2021-07-26,32.0,21.9,26.3,0.0,0.0,13.5,290,70,1011.9,62,23.56,5.08,New York,40.71,-74.01
2021-07-27,30.8,19.6,25.2,0.1,0.1,24.2,192,68,1013.5,20,23.82,5.3,New York,40.71,-74.01
2021-07-28,27.1,20.5,23.5,1.1,1.1,17.7,9,74,1015.0,24,23.4,4.62,New York,40.71,-74.01
2021-07-29,25.6,20.0,22.6,32.2,32.2,27.2,182,88,1013.3,66,13.72,2.65,New York,40.71,-74.01
2021-07-30,28.1,19.5,23.4,0.0,0.0,25.2,312,68,1008.9,12,25.71,5.66,New York,40.71,-74.01
2021-07-31,26.0,14.6,20.0,0.0,0.0,22.3,302,62,1014.8,11,26.7,5.23,New York,40.71,-74.01
