date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,29.4,24.8,26.8,10.3,10.3,12.5,255,86,1011.0,87,18.93,3.82,Singapore,1.35,103.82
2021-04-15,31.0,24.1,26.7,13.4,13.4,7.9,6,85,1010.5,79,20.52,4.18,Singapore,1.35,103.82
2021-04-16,29.1,24.1,26.8,6.8,6.8,7.6,183,87,1010.3,92,18.47,3.71,Singapore,1.35,103.82
2021-04-17,28.6,24.8,26.0,41.2,41.2,14.4,270,91,1011.8,99,9.9,1.99,Singapore,1.35,103.82
2021-04-18,29.6,23.5,26.5,5.6,5.6,9.1,293,87,1011.7,64,19.98,4.01,Singapore,1.35,103.82
2021-04-19,28.2,24.0,26.7,11.5,11.5,11.8,244,87,1010.7,53,20.35,3.85,Singapore,1.35,103.82
2021-04-20,30.2,24.3,27.1,5.6,5.6,10.6,255,87,1010.2,47,23.01,4.59,Singapore,1.35,103.82
2021-04-21,29.5,25.0,27.1,7.6,7.6,10.1,172,87,1010.2,40,21.1,4.16,Singapore,1.35,103.82
2021-04-22,27.5,24.9,26.2,23.1,23.1,13.4,228,90,1010.5,86,11.2,2.3,Singapore,1.35,103.82
2021-04-23,29.4,24.6,27.1,4.5,4.5,16.6,249,86,1010.2,93,18.46,3.67,Singapore,1.35,103.82
2021-04-24,27.9,25.0,26.0,24.7,24.7,12.4,229,90,1010.4,94,4.02,1.0,Singapore,1.35,103.82
2021-04-25,30.4,24.8,27.6,0.6,0.6,12.3,190,83,1010.1,47,23.1,4.66,Singapore,1.35,103.82
2021-04-26,30.1,24.8,27.1,15.9,15.9,10.6,117,89,1009.8,82,19.02,3.8,Singapore,1.35,103.82
2021-04-27,29.8,24.6,26.9,18.7,18.7,9.2,278,89,1010.6,81,17.95,3.64,Singapore,1.35,103.82
2021-04-28,30.1,23.6,26.7,7.0,7.0,11.5,78,88,1011.1,90,19.95,4.0,Singapore,1.35,103.82
2021-04-29,29.7,24.2,26.9,8.4,8.4,12.6,71,88,1010.2,90,19.02,3.78,Singapore,1.35,103.82
2021-04-30,29.1,24.5,26.6,19.2,19.2,8.9,15,89,1010.4,97,15.11,3.07,Singapore,1.35,103.82
2021-05-01,30.2,23.7,26.5,15.9,15.9,14.5,46,89,1009.8,98,18.37,3.67,Singapore,1.35,103.82
2021-05-02,31.0,24.3,27.5,1.1,1.1,13.8,77,84,1009.3,54,23.02,4.72,Singapore,1.35,103.82
2021-05-03,29.4,25.2,27.2,8.1,8.1,15.0,63,88,1007.8,94,16.49,3.29,Singapore,1.35,103.82
2021-05-04,30.2,24.6,26.8,10.4,10.4,12.3,23,90,1007.4,97,16.44,3.35,Singapore,1.35,103.82
2021-05-05,29.4,24.4,26.3,20.3,20.3,10.2,10,90,1007.9,97,13.85,2.83,Singapore,1.35,103.82
2021-05-06,27.6,24.6,26.0,21.9,21.9,11.0,335,92,1009.5,98,9.5,1.97,Singapore,1.35,103.82
2021-05-07,29.9,24.0,26.5,14.0,14.0,13.8,27,87,1009.8,74,17.46,3.49,Singapore,1.35,103.82
2021-05-08,28.0,24.4,26.5,14.4,14.4,7.1,37,91,1009.2,75,10.64,2.21,Singapore,1.35,103.82
2021-05-09,30.3,24.3,26.7,6.9,6.9,10.0,19,89,1008.4,70,19.81,4.0,Singapore,1.35,103.82
2021-05-10,30.9,24.5,27.7,1.3,1.3,9.1,122,86,1007.7,44,22.26,4.56,Singapore,1.35,103.82
2021-05-11,30.0,25.6,27.5,12.9,12.9,13.5,123,89,1007.7,77,18.96,3.78,Singapore,1.35,103.82
2021-05-12,27.8,24.5,26.2,24.9,24.9,11.6,227,92,1007.7,100,9.2,1.93,Singapore,1.35,103.82
2021-05-13,30.1,24.5,27.2,19.0,19.0,11.5,137,89,1006.8,93,18.27,3.67,Singapore,1.35,103.82
2021-05-14,28.5,25.8,27.1,12.3,12.3,8.7,213,90,1007.1,99,11.71,2.42,Singapore,1.35,103.82
2021-05-15,29.0,25.3,26.9,18.8,18.8,10.7,205,91,1007.6,91,14.19,2.81,Singapore,1.35,103.82
