date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,25.8,12.7,19.0,0.0,0.0,15.4,319,48,1014.1,16,16.35,4.38,Sydney,-33.87,151.21
2021-04-15,23.9,12.9,17.8,0.0,0.0,15.0,272,58,1014.2,19,18.22,3.75,Sydney,-33.87,151.21
2021-04-16,20.4,13.8,17.2,0.1,0.1,25.1,190,59,1020.1,83,12.78,3.26,Sydney,-33.87,151.21
2021-04-17,19.1,11.9,15.4,0.3,0.3,10.8,273,82,1022.7,79,6.91,1.36,Sydney,-33.87,151.21
2021-04-18,20.1,10.6,14.9,0.1,0.1,12.6,283,83,1020.6,46,14.53,2.4,Sydney,-33.87,151.21
2021-04-19,22.3,10.3,15.7,0.0,0.0,11.8,323,79,1017.0,13,17.35,2.89,Sydney,-33.87,151.21
2021-04-20,22.0,9.9,16.4,0.0,0.0,17.8,305,61,1013.1,39,15.35,3.29,Sydney,-33.87,151.21
2021-04-21,18.6,11.9,15.5,0.0,0.0,22.3,227,61,1012.6,13,16.99,3.45,Sydney,-33.87,151.21
2021-04-22,19.2,8.6,13.4,0.0,0.0,19.8,266,62,1013.3,1,17.14,3.31,Sydney,-33.87,151.21
2021-04-23,21.0,7.9,13.8,0.0,0.0,18.9,265,65,1017.2,7,16.78,3.01,Sydney,-33.87,151.21
2021-04-24,21.0,9.1,14.1,0.0,0.0,13.4,294,74,1021.2,46,15.52,2.62,Sydney,-33.87,151.21
2021-04-25,19.9,9.7,14.5,0.4,0.4,13.7,229,76,1023.1,13,14.59,2.45,Sydney,-33.87,151.21
2021-04-26,21.3,10.8,15.2,0.0,0.0,13.5,306,81,1024.5,6,15.94,2.57,Sydney,-33.87,151.21
2021-04-27,22.0,11.9,16.1,0.1,0.1,15.1,209,83,1025.9,24,15.09,2.46,Sydney,-33.87,151.21
2021-04-28,20.9,13.0,16.3,0.7,0.7,14.8,17,83,1024.9,79,12.33,2.18,Sydney,-33.87,151.21
2021-04-29,21.5,10.6,15.7,0.0,0.0,13.4,23,85,1024.1,26,14.91,2.43,Sydney,-33.87,151.21
2021-04-30,21.5,12.0,16.2,0.6,0.6,11.7,357,88,1027.6,34,12.78,2.05,Sydney,-33.87,151.21
2021-05-01,22.0,12.4,16.9,1.7,1.7,11.9,31,88,1028.8,30,13.08,2.15,Sydney,-33.87,151.21
2021-05-02,22.4,13.1,17.5,0.3,0.3,16.1,20,84,1026.4,78,11.91,2.14,Sydney,-33.87,151.21
2021-05-03,23.1,12.2,17.0,0.0,0.0,14.8,352,86,1020.4,41,14.43,2.39,Sydney,-33.87,151.21
2021-05-04,17.3,13.7,15.0,16.8,16.8,11.6,266,90,1016.0,97,3.96,0.78,Sydney,-33.87,151.21
2021-05-05,17.9,13.6,15.9,28.7,28.7,24.1,189,92,1014.3,87,5.42,0.93,Sydney,-33.87,151.21
2021-05-06,20.5,16.2,18.6,20.5,20.5,30.0,148,90,1012.0,87,5.92,1.19,Sydney,-33.87,151.21
2021-05-07,20.5,15.6,18.7,10.3,10.3,21.0,180,89,1010.7,72,8.27,1.49,Sydney,-33.87,151.21
2021-05-08,24.3,13.6,17.7,0.0,0.0,12.6,287,83,1012.9,72,11.99,2.16,Sydney,-33.87,151.21
2021-05-09,19.5,14.1,16.4,0.0,0.0,10.9,289,77,1017.9,77,5.75,1.22,Sydney,-33.87,151.21
2021-05-10,22.6,12.1,16.6,0.0,0.0,12.2,303,75,1014.1,16,13.51,2.45,Sydney,-33.87,151.21
2021-05-11,21.4,13.6,16.3,0.4,0.4,10.7,296,78,1014.9,58,10.39,1.86,Sydney,-33.87,151.21
2021-05-12,19.9,13.1,15.8,2.9,2.9,14.4,199,88,1018.5,61,9.5,1.49,Sydney,-33.87,151.21
2021-05-13,21.4,13.4,16.3,0.6,0.6,17.9,267,79,1012.3,24,12.71,2.27,Sydney,-33.87,151.21
2021-05-14,18.2,10.6,14.0,0.0,0.0,25.4,266,61,1012.1,2,13.88,3.12,Sydney,-33.87,151.21
2021-05-15,16.5,9.8,12.4,0.0,0.0,28.5,275,59,1013.8,26,9.85,2.75,Sydney,-33.87,151.21
2021-05-16,16.6,7.1,11.0,0.0,0.0,22.9,264,58,1019.6,1,13.57,2.75,Sydney,-33.87,151.21
2021-05-17,18.1,8.9,13.1,0.0,0.0,24.3,257,62,1022.1,27,12.37,2.65,Sydney,-33.87,151.21
2021-05-18,18.3,7.2,12.1,0.0,0.0,12.7,296,74,1027.5,3,13.14,2.02,Sydney,-33.87,151.21
2021-05-19,19.1,6.8,12.0,0.0,0.0,11.0,315,81,1027.2,3,13.18,1.95,Sydney,-33.87,151.21
2021-05-20,19.8,6.1,12.1,0.0,0.0,13.3,277,75,1026.2,22,12.7,2.04,Sydney,-33.87,151.21
2021-05-21,16.9,8.2,12.9,2.2,2.2,17.4,217,85,1028.9,47,5.77,1.02,Sydney,-33.87,151.21
2021-05-22,18.6,8.0,12.8,0.0,0.0,12.0,257,84,1026.4,16,11.79,1.75,Sydney,-33.87,151.21
2021-05-23,18.5,8.9,13.7,0.9,0.9,16.3,228,90,1026.5,57,10.32,1.52,Sydney,-33.87,151.21
2021-05-24,18.9,12.6,15.2,2.6,2.6,9.9,359,89,1028.7,49,8.73,1.37,Sydney,-33.87,151.21
2021-05-25,20.5,10.5,15.2,0.2,0.2,20.0,9,82,1023.4,41,11.31,2.09,Sydney,-33.87,151.21
2021-05-26,19.6,12.9,16.0,0.0,0.0,27.0,281,56,1017.3,14,12.34,3.3,Sydney,-33.87,151.21
2021-05-27,18.0,9.6,13.1,0.0,0.0,21.5,260,58,1022.3,5,12.34,2.94,Sydney,-33.87,151.21
