date,temp_max,temp_min,temp_mean,precipitation,rain,wind_speed_max,wind_direction,humidity_mean,pressure_mean,cloud_cover,solar_radiation,evapotranspiration,city,latitude,longitude
2021-04-14,23.1,12.3,16.8,0.0,0.0,20.5,114,82,1019.9,59,14.22,2.7,São Paulo,-23.55,-46.63
2021-04-15,23.9,14.8,18.2,0.3,0.3,17.7,104,82,1018.7,62,16.51,3.11,São Paulo,-23.55,-46.63
2021-04-16,25.4,14.3,19.0,0.0,0.0,13.9,78,77,1016.5,24,15.42,2.96,São Paulo,-23.55,-46.63
2021-04-17,24.4,15.8,19.5,2.8,2.8,12.1,40,77,1015.1,96,9.35,2.18,São Paulo,-23.55,-46.63
2021-04-18,23.0,16.4,18.5,18.8,18.8,16.3,173,89,1014.7,68,13.27,2.32,São Paulo,-23.55,-46.63
2021-04-19,21.0,15.6,17.5,1.4,1.4,21.3,193,88,1016.7,53,14.75,2.44,São Paulo,-23.55,-46.63
2021-04-20,20.9,15.2,17.4,3.0,3.0,23.0,180,89,1017.7,57,16.29,2.58,São Paulo,-23.55,-46.63
2021-04-21,20.4,15.4,17.3,3.8,3.8,22.7,167,89,1017.7,62,14.25,2.3,São Paulo,-23.55,-46.63
2021-04-22,18.5,14.2,16.0,2.4,2.4,18.6,153,91,1018.4,61,8.66,1.44,São Paulo,-23.55,-46.63
2021-04-23,22.1,13.1,16.7,0.0,0.0,17.8,168,87,1017.7,60,19.08,3.24,São Paulo,-23.55,-46.63
2021-04-24,23.5,14.5,17.8,0.0,0.0,12.4,161,85,1016.2,59,18.76,3.32,São Paulo,-23.55,-46.63
2021-04-25,25.4,14.6,19.2,0.0,0.0,13.3,356,82,1014.1,66,18.76,3.46,São Paulo,-23.55,-46.63
2021-04-26,23.9,15.9,18.8,2.4,2.4,13.4,143,87,1014.8,62,16.01,2.9,São Paulo,-23.55,-46.63
2021-04-27,21.1,15.4,17.8,1.4,1.4,17.6,148,92,1016.1,65,11.79,1.97,São Paulo,-23.55,-46.63
2021-04-28,22.9,14.9,17.3,0.3,0.3,21.7,154,86,1018.1,63,18.42,3.17,São Paulo,-23.55,-46.63
2021-04-29,19.9,13.1,15.9,1.1,1.1,19.0,146,85,1022.1,48,14.87,2.44,São Paulo,-23.55,-46.63
2021-04-30,21.6,12.6,16.0,0.0,0.0,20.1,117,84,1023.6,75,15.0,2.66,São Paulo,-23.55,-46.63
2021-05-01,21.9,11.9,16.0,0.0,0.0,17.1,106,84,1022.7,95,17.46,2.93,São Paulo,-23.55,-46.63
2021-05-02,23.4,12.9,16.8,0.0,0.0,16.5,100,83,1021.4,62,18.52,3.24,São Paulo,-23.55,-46.63
2021-05-03,24.5,12.9,17.6,0.0,0.0,16.4,111,83,1019.8,40,18.2,3.28,São Paulo,-23.55,-46.63
2021-05-04,26.1,12.9,19.1,0.0,0.0,13.4,355,75,1018.7,48,18.6,3.6,São Paulo,-23.55,-46.63
2021-05-05,26.0,12.8,19.1,0.0,0.0,14.5,156,78,1017.8,62,18.39,3.41,São Paulo,-23.55,-46.63
2021-05-06,27.2,14.4,20.7,0.3,0.3,17.9,310,71,1016.1,49,18.06,3.89,São Paulo,-23.55,-46.63
2021-05-07,18.1,14.2,15.9,2.7,2.7,23.7,173,88,1021.1,88,6.32,1.28,São Paulo,-23.55,-46.63
2021-05-08,20.8,14.1,16.1,0.5,0.5,18.7,123,85,1024.9,76,10.31,1.89,São Paulo,-23.55,-46.63
