iter	Logloss
0	0.6507736851	0.6043876092
22	0.57039682733	0.5385406433
4	4	0.510744985	05	0.48581666	0.6	0.46456117	0.7	0.44540268	08	0.433352729	09	0.4179677910110	0.4056906711111	0.39512766912112	0.3776792013113	0.3685916014114	0.359893081515	0.3528504551616	0.3461644633
17	0.3399809748
18	0.3342371854
19	0.3285238312020	0.3236640286
21	0.3198577487
22	0.3155234648
23	0.3121210964
24	0.3095128236
25	0.3063685288
26	0.3032350151
27	0.3007044664
28	0.2978499413
29	0.2947670665
30	0.2925083187
31	0.291125167
32	0.288796268
33	0.2867320045
34	0.2852093373
35	0.2835088184
36	0.2819113305
37	0.280494184
38	0.2793415664
39	0.2777965686
40	0.2764431348
41	0.27482691
42	0.273254665
43	0.2719912647
44	0.270709892
45	0.2694483223
46	0.2684013867
47	0.2671819378
48	0.2662396584
49	0.2652196276
50	0.2639131634
51	0.2625982121
52	0.2615274357
53	0.2603662581
54	0.2595334473
55	0.2587036516
56	0.257760256
57	0.2570149395
58	0.2563172934
59	0.2552207914
60	0.2542232604
61	0.2531300897
62	0.252081301
63	0.2512887323
64	0.2504695072
65	0.2495448353
66	0.2488544331
67	0.2479487609
68	0.2472365904
69	0.2466034092
70	0.2457325696
71	0.2453497553
72	0.2446847982
73	0.2439206229
74	0.2432095634
75	0.242459992
76	0.2417600575
77	0.2412913251
78	0.2406500051
79	0.2398916727
80	0.2394212455
81	0.2389349064
82	0.2383907265
83	0.2379376662
84	0.2371759505
85	0.2364667879
86	0.2357966288
87	0.2353597624
88	0.2348986213
89	0.2341402066
90	0.2337297601
91	0.2328533247
92	0.232371463
93	0.2315629378
94	0.2309334924
95	0.2301718442
96	0.2296426089
97	0.2291277701
98	0.228492893
99	0.2281185226
100	0.2277428206
101	0.2272549386
102	0.2265814796
103	0.2261889956
104	0.2256323863
105	0.2248714041
106	0.2242649946
107	0.2236659462
108	0.2231285504
109	0.2225046468
110	0.2219622606
111	0.2213283213
112	0.2208291203
113	0.2205564773
114	0.2202700237
115	0.2199272914
116	0.219336135
117	0.2187906783
118	0.2184408119
119	0.2180512184
120	0.2175100012
121	0.2170057186
122	0.2167890453
123	0.2159759108
124	0.2155301227
125	0.2148271031
126	0.2144548704
127	0.2140682421
128	0.213730101
129	0.2132431178
130	0.2127069162
131	0.212074524
132	0.2117659155
133	0.2112617935
134	0.2108301459
135	0.2103892445
136	0.2099942625
137	0.2096567416
138	0.2092731547
139	0.2087948257
140	0.2082059752
141	0.2076660308
142	0.2071203113
143	0.2065690812
144	0.2059559033
145	0.2055278152
146	0.2051629559
147	0.2048741788
148	0.2045882178
149	0.2042526644
150	0.2038626314
151	0.203697553
152	0.2030860746
153	0.2026125386
154	0.2022290296
155	0.2017553245
156	0.2014811218
157	0.2010854581
158	0.2007490085
159	0.2000504588
160	0.1995645854
161	0.1991654929
162	0.1986077327
163	0.198267692
164	0.1978279304
165	0.1974801518
166	0.1969894945
167	0.196502149
168	0.1961315131
169	0.1956173393
170	0.1954179658
171	0.1949998712
172	0.1946527721
173	0.1939039707
174	0.1935056013
175	0.1931032909
176	0.1926664526
177	0.1920351309
178	0.1916859977
179	0.1911180	0.1180	0180	0181	0.1181	181	0.182	0182	0.182	0.183	0.18718183	0.184	0.18672184	0.185	0.18635185	0.186	0.18585186	0187	0.185285187	0188	0.185049188	0.1911721436
189	0.1908063099
190	0.1905048561
191	0.1904263176
192	0.189946197
193	0.1892963122
194	0.1890711963
195	0.1888466337
196	0.1884644535
197	0.1878787348
198	0.1874993964
199	0.1869073026
200	0.1864615221
201	0.1859584536
202	0.1854986152
203	0.1850466986
204	0.1846109523
205	0.1841676364
206	0.1836433049
207	0.1834330015
208	0.1830859033
209	0.182729802
210	0.182396372
211	0.1819845042
212	0.1817524851
213	0.1813058747
214	0.1807545213
215	0.1802109639
216	0.1799905256
217	0.1797403871
218	0.1794797994
219	0.1790467189
220	0.1787226315
221	0.1782405745
222	0.1777595108
223	0.1775500121
224	0.1773306175
225	0.1766842534
226	0.1762772895
227	0.1758516152
228	0.1753843454
229	0.1749655869
