iter	Passed	Remaining
0	248	14879211	398	119092	531	105797
3	3	796	1187144	1010	120295	5	1334	132096	6	1477	125207	7	1640	121368	88	1934	12709	99	2138	126110110	2364	126511111	2610	12789912	2825	127568
13	3059	128052
14	3321	129554
15	3578	130614
16	3819	130990
17	4047	130869
18	4283	130991
19	4517	131012
20	4740	130709
21	4946	129961
22	5175	129832
23	5424	130193
24	5679	130627
25	5957	131512
26	6227	132158
27	6483	132445
28	6729	132494
29	6918	131457
30	7139	131053
31	7345	130383
32	7653	131505
33	7906	131614
34	8101	130789
35	8300	130040
36	8471	128908
37	8662	128111
38	8884	127804
39	9126	127774
40	9424	128490
41	9681	128625
42	9890	128113
43	10117	127854
44	10357	127743
45	10528	126800
46	10788	126935
47	11083	127456
48	11251	126520
49	11484	126330
50	11678	125711
51	11866	125050
52	12128	125175
53	12345	124822
54	12569	124550
55	12786	124212
56	12998	123831
57	13175	123120
58	13397	122849
59	13652	122876
60	13828	122189
61	14049	121915
62	14302	121915
63	14515	121568
64	14722	121173
65	14961	121049
66	15148	120511
67	15345	120057
68	15602	120074
69	15845	119972
70	16110	120037
71	16308	119593
72	16518	119253
73	16711	118784
74	16960	118721
75	17137	118159
76	17289	117437
77	17551	117462
78	17855	117753
79	18007	117049
80	18168	116413
81	18412	116313
82	18619	115976
83	18798	115476
84	18995	115093
85	19264	115141
86	19519	115100
87	19744	114874
88	19942	114498
89	20177	114337
90	20393	114067
91	20612	113818
92	20828	113547
93	21082	113484
94	21319	113329
95	21549	113135
96	21801	113054
97	21968	112534
98	22142	112054
99	22297	111485
100	22534	111335
101	22776	111201
102	23003	110997
103	23186	110581
104	23337	110021
105	23553	109770
106	23751	109434
107	23942	109070
108	24184	108941
109	24439	108868
110	24584	108302
111	24762	107892
112	24985	107681
113	25133	107150
114	25295	106679
115	25426	106090
116	25553	105489
117	25726	105085
118	25856	104511
119	25955	103823
120	26065	103185
121	26172	102545
122	26300	101995
123	26409	101380
124	26559	100925
125	26685	100388
126	26836	99950
127	26954	99392
128	27131	99062
129	27263	98566
130	27387	98051
131	27488	97458
132	27606	96935
133	27733	96445
134	27858	95958
135	27985	95480
136	28102	94975
137	28225	94494
138	28368	94086
139	28524	93723
140	28637	93223
141	28782	92834
142	28887	92319
143	29028	91922
144	29144	91452
145	29264	90999
146	29387	90559
147	29485	90050
148	29581	89538
149	29700	89102
150	29839	88727
151	29937	88236
152	30048	87788
153	30168	87371
154	30279	86930
155	30402	86530
156	30500	86062
157	30640	85715
158	30749	85286
159	30878	84917
160	31003	84537
161	31143	84202
162	31250	83782
163	31411	83508
164	31515	83085
165	31609	82642
166	31719	82241
167	31823	81830
168	31944	81468
169	32063	81101
170	32181	80735
171	32298	803173172	32443	800174173	32594	798175174	32718	794176175	32821	790177	33000	78236
178	33163	77999
179	33274	77641
180	33439	77410
181	33602	77176
182	33772	76957
183	33917	76682
184	34055	76394
185	34192	76106
186	34337	75835
187	34472	75545
188	34629	75305
189	34828	75156
190	35033	75019
191	35187	74772
192	35386	74623
193	35514	74324
194	35644	74031
195	35816	73825
196	35995	73636
197	36138	73372
198	36358	73264
199	36551	73103
200	36676	72806
201	36848	72603
202	37009	72377
203	37165	72145
204	37319	71909
205	37489	71702
206	37647	71475
207	37766	71174
208	37932	70964
209	38056	70676
210	38234	70489
211	38339	70168
212	38475	69906
213	38579	69587
214	38690	69283
215	38840	69049
216	39000	68835
217	39158	68616
218	39266	68312
219	39370	68004
220	39514	67764
221	39657	67524
222	39758	67215
223	39873	66931
224	40013	66688
225	40135	66419
226	40312	66239
227	40514	66102
228	40627	65819
229	40726	65516
230	40860	65270
231	40957	64966
232	41103	64742
233	41249	64518
234	41386	64281
235	41510	64024
236	41645	63786
237	41793	63568
238	41974	63400
239	42131	63197
240	42307	63022
241	42414	62745
242	42545	62505
243	42711	62316
244	42843	62079
245	42998	61875
246	43246	61805
247	43399	61599
248	43545	61382
249	43716	61203
250	43861	60986
251	44002	60764
252	44146	60548
253	44308	60357
254	44509	60218
255	44726	60101
256	44903	59929
257	45038	59701
258	45166	59466
259	45332	59280
260	45474	59064
261	45641	58881
262	45791	58675
263	46001	58546
264	46220	58429
265	46357	58207
266	46471	57958
267	46582	57706
268	46744	57518
269	46876	57293
270	47005	57065
271	47141	56846
272	47350	56716
273	47524	56543
274	47694	56366
275	47860	56183
276	48022	55996
277	48196	55824
278	48334	55610
279	48476	55402
280	48607	55180
281	48794	55023
282	48960	54842
283	49107	54640
284	49254	54439
285	49368	54201
286	49515	54001
287	49643	53780
288	49793	53583
289	49914	53357
290	50064	53161
291	50221	52973
292	50354	52760
293	50504	52565
294	50668	52386
295	50824	52198
296	50949	51979
297	51078	51764
298	51224	51566
299	51385	51385
300	51507	51165
301	51674	50989
302	51791	50765
303	51915	50549
304	52087	50379
305	52232	50184
306	52364	49976
307	52521	49793
308	52668	49600
309	52823	49415
310	52975	49227
311	53136	49049
312	53302	48874
313	53458	48691
314	53598	48494
315	53740	48298
316	53891	48111
317	54031	47914
318	54221	47762
319	54378	47581
320	54525	47391
321	54681	47209
322	54834	47025
323	54974	46829
324	55180	46691
325	55332	46506
326	55510	46343
327	55643	46143
328	55794	45958
329	55915	45749
330	56080	45576
331	56179	45349
332	56293	45136
333	56451	44958
334	56546	44730
335	56664	44522
336	56783	44314
337	56943	44139
338	57056	43928
339	57193	43735
340	57301	43522
341	57459	43346
342	57580	43143
343	57681	42925
344	57773	42701
345	57893	42499
